"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
491,NA,NA,13584.932,13585.032,14018.466,14018.599,NA,NA,NA,NA,NA,NA
492,NA,NA,13834.099,13836.099,14054.399,14054.566,NA,NA,NA,NA,NA,NA
493,NA,NA,13836.166,13837.232,14088.466,14088.532,NA,NA,NA,NA,NA,NA
494,NA,NA,13837.299,13837.566,14088.832,14089.499,NA,NA,NA,NA,NA,NA
495,NA,NA,13837.632,13837.932,14112.499,14112.632,NA,NA,NA,NA,NA,NA
496,NA,NA,13840.666,13840.732,14112.732,14112.766,NA,NA,NA,NA,NA,NA
497,NA,NA,13844.499,13846.166,14113.666,14113.899,NA,NA,NA,NA,NA,NA
498,NA,NA,13846.232,13846.299,14131.599,14131.766,NA,NA,NA,NA,NA,NA
499,NA,NA,13846.332,13849.932,14133.932,14133.966,NA,NA,NA,NA,NA,NA
500,NA,NA,13850.199,13850.232,14138.466,14138.599,NA,NA,NA,NA,NA,NA
501,NA,NA,13852.399,13855.632,14138.666,14140.266,NA,NA,NA,NA,NA,NA
502,NA,NA,13855.766,13858.866,14446.832,14446.865,NA,NA,NA,NA,NA,NA
503,NA,NA,13859.732,13860.466,14448.298,14448.865,NA,NA,NA,NA,NA,NA
504,NA,NA,13864.099,13865.032,14451.898,14451.965,NA,NA,NA,NA,NA,NA
505,NA,NA,13866.432,13866.632,14453.365,14453.432,NA,NA,NA,NA,NA,NA
506,NA,NA,13873.499,13886.499,14454.432,14455.632,NA,NA,NA,NA,NA,NA
507,NA,NA,13888.099,13896.332,14457.132,14457.465,NA,NA,NA,NA,NA,NA
508,NA,NA,13896.866,13897.732,14475.932,14476.498,NA,NA,NA,NA,NA,NA
509,NA,NA,13899.132,13937.066,14477.198,14477.398,NA,NA,NA,NA,NA,NA
510,NA,NA,13938.066,13944.299,14478.432,14479.698,NA,NA,NA,NA,NA,NA
511,NA,NA,13944.832,13945.032,14480.365,14480.498,NA,NA,NA,NA,NA,NA
512,NA,NA,13945.499,13945.566,14480.698,14485.732,NA,NA,NA,NA,NA,NA
513,NA,NA,13949.566,13955.966,14488.832,14489.098,NA,NA,NA,NA,NA,NA
514,NA,NA,13957.099,13958.832,15002.498,15034.165,NA,NA,NA,NA,NA,NA
515,NA,NA,13958.866,13959.566,15079.765,15079.798,NA,NA,NA,NA,NA,NA
516,NA,NA,13959.599,13959.632,15082.465,15084.265,NA,NA,NA,NA,NA,NA
517,NA,NA,13959.832,13960.066,15085.865,15086.865,NA,NA,NA,NA,NA,NA
518,NA,NA,13960.199,13962.799,15086.898,15086.932,NA,NA,NA,NA,NA,NA
519,NA,NA,13983.032,14008.632,15087.065,15094.898,NA,NA,NA,NA,NA,NA
520,NA,NA,14011.199,14011.466,15094.965,15199.365,NA,NA,NA,NA,NA,NA
521,NA,NA,14013.199,14014.799,15200.165,15201.432,NA,NA,NA,NA,NA,NA
522,NA,NA,14015.032,14015.099,15201.965,15202.132,NA,NA,NA,NA,NA,NA
523,NA,NA,14016.832,14017.899,15202.598,15205.765,NA,NA,NA,NA,NA,NA
524,NA,NA,14018.032,14018.466,15205.965,15206.265,NA,NA,NA,NA,NA,NA
525,NA,NA,14018.599,14048.599,15227.098,15229.065,NA,NA,NA,NA,NA,NA
526,NA,NA,14054.166,14054.399,15230.665,15230.898,NA,NA,NA,NA,NA,NA
527,NA,NA,14054.566,14088.466,15231.098,15232.498,NA,NA,NA,NA,NA,NA
528,NA,NA,14088.532,14088.832,15234.765,15235.398,NA,NA,NA,NA,NA,NA
529,NA,NA,14089.499,14089.866,15238.065,15238.098,NA,NA,NA,NA,NA,NA
530,NA,NA,14111.432,14112.499,15238.132,15238.265,NA,NA,NA,NA,NA,NA
531,NA,NA,14112.632,14112.732,15238.332,15238.465,NA,NA,NA,NA,NA,NA
532,NA,NA,14112.766,14113.666,15238.498,15238.798,NA,NA,NA,NA,NA,NA
533,NA,NA,14113.899,14131.599,15239.332,15239.398,NA,NA,NA,NA,NA,NA
534,NA,NA,14131.766,14133.932,15239.465,15239.498,NA,NA,NA,NA,NA,NA
