"X1","Right_start","Right_stop","Unknown_start","Unknown_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop"
132,2166.466,2169.4,NA,NA,4714.433,4742.133,1128.166,1134.566,1460.933,1462.633,2671.633,2671.7
133,2169.533,2171.666,NA,NA,4768.599,4805.099,1134.6,1135.066,1462.7,1463.166,2671.866,2671.9
134,2171.933,2172.133,NA,NA,4923.833,4937.666,1135.1,1135.666,1463.9,1464.166,2673.066,2673.2
135,2172.4,2172.666,NA,NA,4948.499,4958.333,1135.866,1136.166,1464.366,1464.433,2674.833,2674.966
136,2172.7,2172.866,NA,NA,4970.366,4973.366,1136.233,1136.4,1465.4,1466.6,2676.066,2676.466
137,2172.9,2172.966,NA,NA,5105.999,5112.733,1139.3,1139.433,1467.466,1467.533,2677.7,2677.8
138,2175.066,2176.6,NA,NA,5126.666,5130.299,1139.566,1140.866,1476.233,1476.6,2677.933,2678.066
139,2176.633,2176.733,NA,NA,5728.933,5732.799,1141.066,1141.266,1476.9,1481.666,2678.1,2678.866
140,2177.566,2178,NA,NA,5768.333,5770.933,1141.3,1143.2,1483.166,1483.2,2791.3,2791.6
141,2178.333,2180.3,NA,NA,5770.999,5771.133,1143.266,1145.733,1483.333,1483.433,2794.266,2794.433
142,2180.433,2180.9,NA,NA,5772.266,5772.399,1145.8,1147.466,1486.6,1490.466,2795,2795.133
143,2181.133,2181.2,NA,NA,5793.999,5800.066,1147.8,1151.866,1543.3,1543.366,2796.133,2796.8
144,2181.566,2181.833,NA,NA,5843.866,5849.066,1154.366,1155.366,1550.2,1550.933,2827.233,2827.3
145,2182.3,2182.6,NA,NA,5858.999,5867.999,1156.033,1156.333,1551.033,1552.866,2896.333,2896.566
146,2183.066,2184.566,NA,NA,5882.199,5891.933,1156.633,1158.266,1553.2,1553.233,2896.733,2897.866
147,2184.6,2185.633,NA,NA,8029.599,8030.766,1158.466,1160,1553.766,1553.933,2898.1,2902.233
148,2203,2216.166,NA,NA,8055.832,8057.332,1160.366,1162.666,1619.466,1619.733,2997.1,2997.766
149,2236.6,2237.266,NA,NA,8083.266,8083.399,1162.833,1162.966,1619.8,1619.933,2997.866,2998.566
150,2302.866,2311.033,NA,NA,8084.199,8089.099,1163.033,1167.266,1620,1622.133,2998.766,3000.333
151,2313.433,2320.666,NA,NA,8158.666,8163.566,1226.133,1226.466,1643.433,1643.5,3000.4,3000.6
152,2320.766,2320.833,NA,NA,12244.499,12245.266,1226.6,1226.9,1652.4,1652.6,3013.4,3013.866
153,2321.1,2331.333,NA,NA,12383.566,12389.466,1227.3,1227.533,1652.7,1652.8,3052.7,3054.433
154,2331.366,2331.4,NA,NA,12425.866,12428.632,1227.566,1228.9,1653,1654.666,3199.333,3199.533
155,2333.733,2335.066,NA,NA,12433.799,12436.932,1229,1234.1,1655.033,1655.533,3199.6,3200
156,2335.2,2335.933,NA,NA,12443.966,12444.666,1236.766,1274.966,1664.266,1664.3,3200.733,3203.3
157,2336,2339.9,NA,NA,12446.566,12449.099,1281,1281.333,1673.333,1675.066,3238.733,3239.1
158,2341.766,2344.033,NA,NA,12456.399,12461.366,1282.2,1282.233,1675.266,1675.333,3246.533,3247
159,2346.4,2346.533,NA,NA,12469.332,12479.099,1283.233,1286.833,1686.066,1686.1,4367.299,4367.399
160,2349.733,2350.966,NA,NA,12492.766,12499.699,1388.233,1460.933,1698.766,1699.1,4367.433,4376.499
161,2351.6,2353.2,NA,NA,12507.566,12518.532,1462.633,1462.7,1767.4,1767.466,4376.666,4384.999
162,2353.466,2356.3,NA,NA,12519.366,12523.166,1463.166,1463.9,1767.8,1767.933,4385.166,4385.233
163,2356.4,2356.433,NA,NA,12535.032,12535.899,1464.166,1464.366,1768.533,1769.3,4385.299,4386.833
164,2356.633,2437.666,NA,NA,12726.732,12731.999,1464.433,1465.4,1769.333,1769.733,4386.866,4386.999
165,2441.566,2453.6,NA,NA,12742.032,12742.932,1466.6,1467.466,1769.8,1770.133,4387.299,4387.699
166,2454.2,2457.133,NA,NA,12805.899,12808.266,1467.533,1476.233,1770.4,1773.866,4387.766,4388.633
167,2586.066,2589.666,NA,NA,12824.032,12844.166,1476.6,1476.9,1774.466,1775.333,4389.033,4389.966
168,2590,2590.4,NA,NA,12882.366,12884.199,1481.666,1483.166,1809.366,1809.566,4390.266,4391.699
169,2590.433,2590.666,NA,NA,12888.232,12891.766,1483.2,1483.333,1809.633,1811.333,4391.999,4392.966
170,2590.9,2591.966,NA,NA,12907.066,12915.899,1483.433,1486.6,1811.7,1811.866,4412.866,4416.899
171,2593.8,2600.333,NA,NA,12935.266,12945.332,1490.466,1504,1812.266,1812.366,4472.266,4472.299
172,2602.266,2606.466,NA,NA,12955.666,12997.166,1538.666,1543.3,1812.866,1813.1,4472.333,4473.233
173,2606.666,2606.7,NA,NA,13011.466,13019.266,1543.366,1550.2,1823.5,1823.6,4473.299,4473.433
174,2644.266,2645.633,NA,NA,13025.332,13028.299,1550.933,1551.033,1900.933,1901.033,4473.866,4475.566
175,2645.866,2646.033,NA,NA,13031.366,13032.266,1552.866,1553.2,1923.266,1923.3,4476.499,4477.933
176,2654.166,2658.333,NA,NA,13033.132,13039.932,1553.233,1553.766,1923.533,1923.633,4492.799,4492.966
177,2659.366,2660.366,NA,NA,13043.732,13046.632,1553.933,1554.6,1923.733,1924.5,4593.933,4594.699
178,2662.933,2671.633,NA,NA,13055.032,13057.532,1565.1,1565.466,1925,1925.1,4594.733,4595.566
179,2671.7,2671.866,NA,NA,13059.699,13132.266,1587.733,1619.466,1926.666,1927.166,4595.633,4597.633
180,2671.9,2673.066,NA,NA,13132.732,13132.932,1619.733,1619.8,1929.566,1929.833,4597.833,4598.499
181,2673.2,2674.833,NA,NA,13133.299,13133.866,1619.933,1620,1929.866,1930,4601.466,4601.799
182,2674.966,2676.066,NA,NA,13136.066,13138.332,1622.133,1643.433,1930.1,1930.766,4601.866,4603.633
183,2676.466,2677.7,NA,NA,13138.599,13139.032,1643.5,1652.4,1932.733,1933.066,4604.666,4605.833
184,2677.8,2677.933,NA,NA,13141.332,13141.632,1652.6,1652.7,1934.433,1934.866,4606.033,4608.233
185,2678.066,2678.1,NA,NA,13154.666,13211.699,1652.8,1653,1936.1,1944.033,4651.999,4652.199
186,2678.866,2678.9,NA,NA,13224.566,13234.832,1654.666,1655.033,1944.3,1944.366,4653.166,4655.933
187,2790.766,2791.3,NA,NA,13637.966,13676.499,1655.533,1656.066,1946.533,1947.066,4657.366,4658.033
188,2791.6,2794.266,NA,NA,13842.232,13957.832,1657.566,1664.266,1947.1,1948.833,4659.466,4666.966
189,2794.433,2795,NA,NA,14094.032,14119.432,1664.3,1673.333,1953.133,1953.2,4667.033,4671.066
190,2795.133,2796.133,NA,NA,14205.799,14205.966,1675.066,1675.266,1953.233,1954.8,4671.999,4673.866
191,2796.8,2797.066,NA,NA,14226.032,14324.432,1675.333,1686.066,1955.9,1960.433,4702.866,4702.966
192,2818.666,2827.233,NA,NA,14325.599,14326.666,1686.1,1698.766,1963.8,1964.133,4703.099,4703.266
193,2827.3,2836.7,NA,NA,14326.799,14326.932,1699.1,1767.4,1964.166,1968.8,4710.966,4711.699
194,2836.766,2836.8,NA,NA,14327.332,14328.332,1767.466,1767.8,1970.566,1970.833,4712.999,4713.299
195,2894.366,2894.633,NA,NA,14328.366,14328.599,1767.933,1768.533,1984.7,1986.166,4858.966,4864.199
196,2894.666,2896.333,NA,NA,14329.032,14329.132,1769.3,1769.333,1989.833,1990.066,4864.666,4869.299
197,2896.566,2896.733,NA,NA,14329.499,14330.466,1769.733,1769.8,1990.133,1990.6,4869.333,4870.233
198,2897.866,2898.1,NA,NA,14391.465,14420.165,1770.133,1770.4,2027.4,2027.666,4870.299,4870.666
199,2902.233,2903.633,NA,NA,14421.732,14421.965,1773.866,1774.466,2029.766,2112.733,4872.899,4872.966
200,2912.233,2919.266,NA,NA,14423.098,14428.698,1798.566,1809.366,2112.933,2113.8,4873.366,4873.533
201,2997.766,2997.866,NA,NA,14479.432,14488.898,1809.566,1809.633,2114.2,2120.133,4873.766,4874.666
202,2998.566,2998.766,NA,NA,14501.198,14510.598,1811.333,1811.7,2121.333,2121.466,4876.466,4877.199
203,3000.333,3000.4,NA,NA,14575.832,14578.332,1811.866,1812.266,2121.666,2121.733,4877.399,4878.266
204,3005.333,3009.733,NA,NA,14590.465,14590.598,1812.366,1812.866,2124.333,2124.533,4878.666,4879.399
205,3009.833,3011.4,NA,NA,14600.865,14605.398,1813.1,1823.5,2245.766,2245.9,4880.733,4883.599
206,3011.533,3012.533,NA,NA,14994.965,14997.365,1823.6,1831.3,2253.8,2253.833,4884.199,4885.266
207,3013.133,3013.4,NA,NA,14997.532,14997.565,1852.066,1855.233,2255,2255.1,4886.733,4906.733
208,3013.866,3014.8,NA,NA,14997.598,14998.032,1880.7,1885.833,2256.066,2259,4906.799,4906.866
209,3015.4,3015.533,NA,NA,14998.898,14999.498,1900.166,1900.933,2259.333,2269.533,4907.599,4907.799
210,3015.733,3052.7,NA,NA,15003.132,15006.365,1901.033,1904.033,2271.666,2272.7,4907.866,4908.333
211,3054.433,3061.733,NA,NA,15006.532,15008.698,1911,1911.6,2272.733,2272.9,4908.599,4910.799
212,3195.766,3199.333,NA,NA,15010.432,15037.598,1914.266,1914.733,2273.033,2273.2,4918.266,4918.999
213,3199.533,3199.6,NA,NA,15037.965,15038.098,1914.9,1914.933,2273.233,2275.866,4973.866,4975.366
214,3200,3200.733,NA,NA,15050.332,15059.932,1915.033,1923.266,2276.033,2276.166,5015.466,5015.866
215,3236.966,3237.3,NA,NA,15060.265,15060.298,1923.3,1923.533,2469.233,2469.266,5016.033,5019.333
216,3237.7,3237.933,NA,NA,15074.832,15076.732,1923.633,1923.733,2469.366,2469.9,5019.466,5021.699
217,3238.033,3238.733,NA,NA,15102.998,15118.765,1924.5,1925,2471.066,2471.466,5021.733,5028.933
218,3239.1,3246.533,NA,NA,15127.132,15147.132,1925.1,1926.666,2473,2474.833,5029.133,5029.699
219,3247,3255.1,NA,NA,15151.932,15171.765,1927.166,1929.566,2474.866,2475.1,5029.733,5032.266
220,4364.966,4367.299,NA,NA,15174.465,15175.765,1929.833,1929.866,2475.333,2475.466,5032.466,5032.999
221,4367.399,4367.433,NA,NA,15178.265,15185.765,1930,1930.1,2475.6,2475.7,5033.066,5034.666
222,4376.499,4376.666,NA,NA,15196.832,15198.298,1930.766,1932.733,2475.866,2476.6,5035.199,5036.333
223,4384.999,4385.166,NA,NA,15199.398,15199.932,1933.066,1934.433,2476.666,2476.966,5036.599,5036.833
224,4385.233,4385.299,NA,NA,15201.032,15204.465,1934.866,1936.1,2477.066,2512.766,5037.533,5053.999
225,4386.833,4386.866,NA,NA,15206.832,15258.198,1944.033,1944.3,2513.033,2513.166,5054.299,5089.333
226,4386.999,4387.299,NA,NA,15259.265,15259.332,1944.366,1946.533,2513.433,2561.266,5092.899,5097.733
227,4387.699,4387.766,NA,NA,15537.398,15537.632,1947.066,1947.1,2562.733,2565.866,5097.999,5102.133
228,4388.633,4389.033,NA,NA,15539.532,15596.365,1948.833,1953.133,2566.733,2569.733,5105.266,5105.866
229,4389.966,4390.266,NA,NA,15653.598,15691.198,1953.2,1953.233,2570.266,2570.633,5141.133,5141.399
230,4391.699,4391.999,NA,NA,15742.398,15748.765,1954.8,1955.9,2571.866,2572,5141.433,5141.566
231,4392.966,4393.299,NA,NA,15806.065,15806.898,1960.433,1963.8,2572.133,2572.366,5143.266,5143.666
232,4412.699,4412.866,NA,NA,15807.732,15807.898,1964.133,1964.166,2572.633,2573.6,5144.333,5145.066
233,4416.899,4417.299,NA,NA,15857.398,15887.098,1968.8,1970.566,2619.533,2619.566,5146.933,5147.099
234,4473.233,4473.299,NA,NA,15893.832,15931.498,1970.833,1984.7,2620.9,2621.2,5147.166,5147.999
235,4473.433,4473.866,NA,NA,15967.598,15967.932,1986.166,1989.833,2684.3,2739.766,5148.033,5148.066
236,4475.566,4476.499,NA,NA,15967.965,15967.998,1990.066,1990.133,2739.8,2759.166,5148.966,5149.099
237,4477.933,4484.833,NA,NA,15968.032,15968.365,1990.6,2027.4,2759.5,2760.066,5150.766,5152.633
238,4491.833,4492.799,NA,NA,15968.398,15987.198,2027.666,2029.766,2760.1,2768.766,5157.133,5157.933
239,4492.966,4497.199,NA,NA,21026.198,21029.298,2112.733,2112.933,2799.566,2799.733,5163.499,5248.933
240,4497.699,4499.833,NA,NA,21051.465,21054.131,2113.8,2114.2,2799.8,2802,5249.166,5249.299
241,4590.533,4593.933,NA,NA,21058.231,21061.331,2120.133,2121.333,2802.033,2802.233,5249.399,5451.399
242,4594.699,4594.733,NA,NA,21065.265,21072.098,2121.466,2121.666,2922,2922.133,5522.866,5712.166
243,4595.566,4595.633,NA,NA,21077.598,21085.165,2121.733,2124.333,2922.166,2924.366,5716.499,5717.333
244,4597.633,4597.833,NA,NA,21090.198,21093.465,2124.533,2138.2,2934.966,2937.333,5725.099,5725.933
245,4598.499,4601.466,NA,NA,21096.465,21097.131,2245.033,2245.766,3083.333,3119.566,5727.633,5728.699
246,4601.799,4601.866,NA,NA,21099.031,21101.931,2245.9,2253.8,3119.766,3122.466,5770.933,5770.999
247,4603.633,4604.666,NA,NA,21102.198,21102.365,2253.833,2255,3123,3123.233,5771.133,5772.266
248,4605.833,4606.033,NA,NA,21103.598,21109.498,2255.1,2256.066,3143.2,3145.066,5772.599,5773.199
249,4608.233,4608.499,NA,NA,21112.998,21115.931,2259,2259.333,3145.2,3147.166,5773.466,5773.933
