"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
81,484.867,486.267,4474.867,4475.6,1847.067,1847.134,3034.6,3035.133,527.334,527.867,20510.032,20511.365,NA,NA
82,486.467,486.934,4578.767,4579.367,1847.267,1848.1,3035.167,3035.633,530.467,540.467,20551.165,20553.432,NA,NA
83,488.6,488.667,4622.833,4640.933,1848.534,1848.667,3035.8,3036,542.567,542.734,NA,NA,NA,NA
84,488.734,496.367,4664.6,4665.233,1850.367,1858.134,3036.2,3038,543.1,543.3,NA,NA,NA,NA
85,497.5,505.367,4744.167,4775.7,2013.934,2015.767,3038.267,3040.833,545.867,546.267,NA,NA,NA,NA
86,505.567,519.4,4790.633,4791.167,2015.967,2016,3041.167,3041.3,546.667,546.867,NA,NA,NA,NA
87,522.734,524,4875.133,4876.8,2016.167,2025.3,3041.533,3042.1,547.667,547.734,NA,NA,NA,NA
88,524.4,524.667,4887,4914,2028.367,2028.5,3042.233,3042.333,547.934,548,NA,NA,NA,NA
89,524.934,525.267,4917.667,4917.9,2711.1,2713.3,3042.433,3042.6,549.334,549.4,NA,NA,NA,NA
90,525.634,527.334,4918.1,4932.533,2714,2725.8,3042.7,3042.733,549.534,549.6,NA,NA,NA,NA
91,527.867,530.467,4934.8,4936.633,2733.767,2740.034,3042.767,3043.033,551.267,551.334,NA,NA,NA,NA
92,540.467,542.567,4964.367,4964.767,2762.2,2762.234,3043.1,3043.133,553.667,554.734,NA,NA,NA,NA
93,542.734,543.1,4966.8,4967.6,2762.9,2763,3043.233,3043.667,554.8,554.867,NA,NA,NA,NA
94,543.3,545.867,5007.567,5008.533,2768.767,2773.834,3043.833,3045.2,555.8,555.867,NA,NA,NA,NA
95,546.267,546.667,5010.567,5013.167,2774,2774.767,3045.267,3045.333,556,556.334,NA,NA,NA,NA
96,546.867,547.667,5026.8,5027.233,3029.4,3030.933,3045.533,3045.567,557.8,558.867,NA,NA,NA,NA
97,547.734,547.934,5028.433,5033.067,3031.433,3031.5,3047.967,3051.033,560.8,561,NA,NA,NA,NA
98,548,549.334,5047.267,5047.767,3031.533,3031.567,3052.7,3054.633,561.2,561.467,NA,NA,NA,NA
99,549.4,549.534,5061.433,5067.767,3031.667,3031.9,3054.7,3055,565.2,565.534,NA,NA,NA,NA
100,549.6,551.267,5087.8,5088.433,3031.967,3032.2,3055.267,3055.3,566.2,568,NA,NA,NA,NA
101,551.334,553.667,5090.567,5091.133,3032.267,3033.2,3055.433,3059.7,571.534,571.6,NA,NA,NA,NA
102,554.734,554.8,5189.433,5190.1,3034.2,3034.367,3059.833,3062.467,571.667,573.267,NA,NA,NA,NA
103,554.867,555.8,5208.067,5215.233,3034.5,3034.6,3167.133,3192.167,573.8,574,NA,NA,NA,NA
104,555.867,556,5219.667,5228.967,3035.133,3035.167,3192.833,3194.567,574.2,574.4,NA,NA,NA,NA
