"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
104,3596,3661.733,1592.833,1601.8,1516.233,1517.466,3469.366,3479.6,7471.699,7472.099,NA,NA
105,3701.3,3701.4,1606.366,1606.966,1517.666,1521.366,3479.633,3539.733,7472.199,7489.199,NA,NA
106,3701.533,3707.766,1608.266,1608.466,1521.633,1522,3661.733,3674.966,7489.332,7489.399,NA,NA
107,3708.2,3809.666,1612.466,1614.5,1522.966,1531.9,3676.233,3677,7490.866,7491.466,NA,NA
108,3908.9,3946.1,1617.733,1617.833,1591.1,1591.866,3689.3,3690.7,7491.799,7506.299,NA,NA
109,4095.266,4106.533,1618.6,1619.066,1591.9,1592.833,3701.266,3701.3,7752.599,7758.966,NA,NA
110,4110.2,4145.4,1620.966,1624.1,1601.8,1606.366,3701.4,3701.466,7866.532,7867.632,NA,NA
111,4175.6,4181.333,1625.333,1637.966,1606.966,1608.266,3707.766,3708.2,7868.299,7868.366,NA,NA
112,4185.8,4273,1639.6,1648.066,1608.466,1612.466,3809.666,3810.1,7869.999,7870.132,NA,NA
113,4306,4307,1661.633,1661.833,1614.5,1617.733,3810.366,3810.9,7939.666,7941.299,NA,NA
114,4384.866,4411.866,1662.033,1662.5,1617.833,1618.6,3811.466,3841.233,7948.899,7950.699,NA,NA
115,4450.533,4461.7,1769.066,1774.6,1619.066,1620.966,3850.2,3908.9,8851.665,8852.965,NA,NA
116,4474.466,4475.466,1776.7,1816.6,1624.1,1625.333,3946.1,4031.9,8853.065,8860.699,NA,NA
117,4526.8,4553.033,1824.733,1829.7,1660.966,1661.033,4032.366,4036.166,8948.465,8948.599,NA,NA
118,6628.933,6630.233,1836.233,1837.433,1661.2,1661.633,4036.633,4036.766,8948.799,8948.832,NA,NA
119,6737.299,6745.933,1837.466,1837.5,1661.833,1662.033,4055.233,4095.266,8949.665,8949.699,NA,NA
120,6750.099,6756.099,1837.533,1837.633,1662.5,1663.3,4106.533,4110.2,8949.832,8949.899,NA,NA
121,6756.899,6757.033,1845.466,1845.6,1663.8,1663.9,4273,4273.533,8949.932,8950.932,NA,NA
122,6760.133,6760.199,1849.366,1849.533,1774.6,1776.7,4274.533,4306,8951.132,8951.565,NA,NA
123,6760.533,6790.333,1851.333,1851.666,1816.6,1824.733,4307,4330.866,8951.699,8951.832,NA,NA
124,6852.399,6853.066,1851.933,1851.966,1829.7,1836.233,4360.433,4384.866,8952.032,8952.632,NA,NA
125,6864.899,6887.799,1852,1852.033,1837.433,1837.466,4475.466,4475.633,8952.899,8953.265,NA,NA
126,6932.099,7035.099,1852.233,1853.266,1837.5,1837.533,4500.633,4504.433,8957.965,8958.199,NA,NA
127,7036.633,7036.833,1855.766,1856,1837.633,1845.466,4518.666,4519.3,8959.699,8959.899,NA,NA
128,7036.899,7037.033,1856.066,1857.366,1845.6,1849.366,4519.366,4519.566,8960.065,8960.799,NA,NA
129,7037.499,7096.233,1864.133,1865.333,1849.533,1851.333,4525.733,4526.8,8963.565,8963.599,NA,NA
130,7234.232,7243.232,1865.8,1865.933,1851.666,1851.933,4553.033,4553.366,8964.332,8964.765,NA,NA
131,7291.066,7296.599,1866.533,1866.833,1851.966,1852,4573.6,4574.466,8965.132,8965.665,NA,NA
132,7297.899,7298.732,2011.833,2012.066,1852.033,1852.233,4600.833,4601.166,8966.865,8969.232,NA,NA
133,7372.199,7372.732,2012.6,2013.466,1853.266,1855.766,4602.3,4602.366,8970.732,8971.232,NA,NA
134,7507.932,7527.032,2016.466,2017.466,1856,1856.066,6326.099,6336.033,8993.399,8993.699,NA,NA
135,7749.432,7752.332,2017.5,2017.633,1857.366,1864.133,6415.233,6415.399,8993.865,8994.099,NA,NA
136,7878.299,7887.566,2024,2024.166,1865.333,1865.8,6415.566,6415.599,8994.499,8994.832,NA,NA
137,7931.899,7932.332,2024.333,2024.533,1865.933,1866.533,6457.933,6457.999,8995.299,8995.932,NA,NA
138,7932.499,7933.266,2027.066,2028.8,2012.066,2012.6,6458.033,6458.066,8995.965,8996.132,NA,NA
139,7934.632,7938.099,2028.9,2029.7,2013.466,2016.466,6458.566,6458.799,8996.532,8996.565,NA,NA
140,7938.566,7939.466,2031.133,2031.266,2017.466,2017.5,6465.499,6465.866,8997.899,8998.699,NA,NA
141,7950.999,7963.699,2167,2169.766,2017.633,2024,6465.899,6513.266,9013.999,9014.099,NA,NA
142,8848.765,8851.332,2169.833,2170.066,2024.166,2024.333,6520.833,6628.933,9014.699,9014.799,NA,NA
143,8860.765,8861.199,2170.1,2170.133,2024.533,2027.066,6745.933,6746.233,9015.199,9015.332,NA,NA
144,8945.199,8948.465,2170.3,2170.9,2028.8,2028.9,6749.133,6750.099,9016.432,9016.765,NA,NA
145,8948.599,8948.799,2170.933,2170.966,2029.7,2031.133,6756.099,6756.899,9017.199,9018.732,NA,NA
146,8948.832,8949.532,2171.5,2171.666,2031.266,2031.633,6757.033,6760.133,9018.899,9019.032,NA,NA
147,8953.265,8957.965,2172.7,2173.5,2169.766,2169.833,6760.199,6760.533,9019.499,9020.465,NA,NA
148,8958.199,8959.632,2173.6,2173.666,2170.066,2170.1,6853.066,6853.133,9021.399,9022.899,NA,NA
