"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
96,833.9,843.266,879.533,881.866,1476.266,1487.233,2202.266,2205.066,2910.566,2910.633,4786.266,4796.866,NA,NA
97,843.6,843.7,884.633,887.033,1517.233,1517.3,2206.366,2206.4,2910.966,2911.2,4803.1,4818.366,NA,NA
98,854.633,857.333,887.066,887.166,1517.333,1518.2,2207.1,2207.633,3311.6,3311.733,4847.966,4858.166,NA,NA
99,857.433,858.5,887.666,890.366,1522,1528.133,2484.133,2485.466,3312.133,3312.733,4908.966,4912.566,NA,NA
100,858.533,858.666,892.6,893.566,1531.133,1531.9,2486,2486.1,3313.166,3314.466,4916.7,4928.666,NA,NA
101,882.333,884.633,908.066,908.666,1532.033,1646.466,2486.233,2486.366,3314.566,3314.633,4939,4944.266,NA,NA
102,887.033,887.066,909.066,911.166,1646.933,1647.033,2613.133,2615.5,3314.8,3315.466,4944.933,4969.933,NA,NA
103,887.166,887.666,911.233,911.333,1647.266,1647.3,2647.566,2647.733,3315.966,3316.033,4970.466,4970.7,NA,NA
104,890.366,892.6,911.666,911.866,1653.866,1658.566,2647.866,2648.566,3317.4,3317.533,4978.366,4980.6,NA,NA
105,893.566,908.066,923.666,927.366,1659.2,1661.433,2651.8,2652.2,3317.866,3321.366,5065.366,5069.5,NA,NA
106,908.666,909.066,944.533,944.566,1665.3,1671.166,2653.166,2653.266,3323.8,3324,5211.066,5213.533,NA,NA
107,911.166,911.233,946.066,950.6,1671.5,1673.233,2653.3,2653.433,3324.133,3324.4,5222.866,5225.766,NA,NA
108,911.333,911.666,952.766,954.166,1673.466,1673.666,2675.3,2677.2,3324.433,3324.5,5233.7,5237.7,NA,NA
109,911.866,923.666,957.1,960,1678.333,1689.9,2677.9,2678,3324.766,3324.833,5313.4,5323.3,NA,NA
110,927.366,934.233,973.6,973.866,1694.366,1695.2,2678.033,2678.166,3326.6,3328.4,5412.966,5420.433,NA,NA
111,938.9,940.7,974.733,974.833,1698.233,1698.7,2824.466,2825.366,3328.5,3328.733,5432.366,5435.3,NA,NA
112,945.633,946.066,981.066,983.9,1702.266,1731.933,2825.433,2825.6,3328.8,3331.133,5445.566,5450.6,NA,NA
113,950.6,952.766,996.1,996.2,1735.333,1793.233,2902.766,2908.1,3353,3353.066,5451.266,5455.566,NA,NA
114,954.166,957.1,1004.3,1004.433,1799.366,1850.033,2909.566,2909.833,3355.366,3356.2,5457.033,5461.966,NA,NA
115,960,962.833,1010.133,1010.8,1855.7,1868.133,2910.366,2910.5,3356.433,3358.4,5463.233,5464.5,NA,NA
116,970.4,971.433,1010.833,1010.9,1869.733,1942.266,2910.533,2910.566,4100.833,4100.966,5469.1,5478.8,NA,NA
117,973.866,974.733,1013.166,1017.266,1948.9,1956.8,2910.633,2910.966,4224.633,4225,5479.8,5487,NA,NA
118,974.833,976,1018.033,1019.6,1957.733,1960,2911.2,2911.533,4226.3,4236.8,5675.133,5677.4,NA,NA
119,986.666,996.1,1055.066,1055.7,1960.133,1962.633,3305.366,3305.7,4236.866,4236.9,5681.933,5685.666,NA,NA
120,996.2,1004.3,1062.1,1066.033,1967.433,1967.466,3311.066,3311.6,4346.066,4346.1,5686.233,5697.333,NA,NA
121,1004.433,1009.633,1072.9,1073.466,1976.766,1992.333,3311.733,3312.133,4347.7,4347.833,5702.833,5708.8,NA,NA
122,1017.266,1018.033,1075.866,1076.1,1992.533,1994.1,3312.8,3312.933,4348.266,4349.7,5769.3,5777.333,NA,NA
123,1061.1,1062.1,1080.766,1083.966,2008.6,2019.933,3314.466,3314.566,4349.766,4349.933,5843.533,5852.133,NA,NA
124,1073.466,1075.866,1086.233,1091.633,2026.033,2027.3,3317.533,3317.866,4350.033,4350.233,5929.033,5930.233,NA,NA
125,1083.966,1086.233,1100.533,1100.6,2038.733,2050.9,3321.366,3323.8,4350.266,4350.3,5934.633,5949.7,NA,NA
126,1091.633,1100.533,1101,1103.066,2079.9,2084.566,3324,3324.133,4351.133,4351.233,5949.9,5959.8,NA,NA
127,1100.6,1101,1108.6,1116.066,2086.133,2086.3,3324.4,3324.433,4351.366,4351.6,6003.8,6006.366,NA,NA
128,1103.066,1108.6,1118.733,1122.3,2086.466,2086.533,3324.5,3324.766,4351.933,4356,6011.166,6013.866,NA,NA
129,1122.3,1122.333,1122.333,1133.9,2086.733,2087.366,3325.033,3325.2,4356.233,4356.366,6052.766,6071.033,NA,NA
130,1133.9,1136.766,1136.766,1136.866,2088.1,2088.2,3328.4,3328.5,4356.466,4356.566,6153.9,6195.033,NA,NA
