"X1","X1_1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
138,NA,15223.629,15227.429,3002.197,3024.431,14679.429,14679.696,2353.964,2353.997,3911.197,3950.197,NA,NA
139,NA,15229.396,15232.129,3024.531,3034.497,14679.863,14680.296,2357.697,2358.331,4010.564,4014.23,NA,NA
140,NA,19489.362,19510.429,3040.597,3040.631,14686.363,14695.196,2395.697,2418.764,4014.53,4015.33,NA,NA
141,NA,19511.395,19511.429,3040.931,3040.964,14702.396,14703.129,2518.397,2533.297,4015.497,4016.464,NA,NA
142,NA,19511.462,19511.495,3041.031,3047.831,14712.996,14722.863,2554.931,2555.697,4016.597,4063.43,NA,NA
143,NA,19589.529,19589.795,3047.964,3048.597,14722.929,14772.929,2555.731,2555.864,4063.797,4063.964,NA,NA
144,NA,19590.995,19612.262,3048.631,3049.697,14875.196,14875.663,2555.897,2555.931,4064.097,4066.93,NA,NA
145,NA,19667.895,19671.462,3050.564,3050.597,14875.763,14878.729,2556.231,2557.297,4134.497,4137.464,NA,NA
146,NA,19703.629,19708.495,3052.231,3052.297,14930.429,14935.996,2558.064,2558.297,4145.997,4174.697,NA,NA
147,NA,19708.529,19708.595,3054.297,3054.397,15050.496,15051.063,2562.064,2563.097,4178.93,4179.73,NA,NA
148,NA,19738.762,19740.662,3054.464,3054.497,15051.463,15051.796,2611.131,2613.464,4180.864,4183.697,NA,NA
149,NA,19785.295,19789.695,3054.531,3054.597,15052.163,15053.196,2613.731,2615.431,4266.364,4268.764,NA,NA
150,NA,19850.729,19855.595,3054.797,3055.797,15176.429,15183.629,2619.964,2620.364,4269.197,4269.864,NA,NA
151,NA,20031.262,20034.129,3056.031,3058.931,15187.963,15187.996,2624.431,2624.931,4270.43,4271.164,NA,NA
152,NA,20042.095,20043.762,3059.264,3060.064,15188.063,15188.229,2625.364,2625.531,4271.564,4272.764,NA,NA
153,NA,20058.529,20058.995,3060.197,3060.464,15188.496,15192.263,2626.164,2626.431,4341.43,4346.597,NA,NA
154,NA,20064.462,20065.895,3066.364,3073.864,15234.896,15237.629,2626.631,2629.597,4375.13,4376.164,NA,NA
155,NA,20067.695,20069.095,3074.097,3076.064,15240.396,16113.929,2630.164,2635.464,4378.997,4398.364,NA,NA
156,NA,20078.362,20080.662,3169.497,3169.631,16128.463,16133.463,2765.364,2765.831,4400.83,4404.297,NA,NA
157,NA,20083.029,20084.029,3170.831,3171.231,16210.996,17986.429,2765.964,2766.064,4405.03,4405.33,NA,NA
158,NA,21111.229,21115.395,3171.597,3171.664,17986.429,19486.829,2766.997,2767.464,4406.897,4415.43,NA,NA
159,NA,21115.762,21119.095,3171.697,3171.731,19643.729,19644.529,2769.031,2769.431,4440.564,4442.73,NA,NA
160,NA,NA,NA,3171.864,3172.197,19644.595,19657.795,2771.531,2777.931,4445.63,4447.43,NA,NA
161,NA,NA,NA,3218.497,3218.531,19657.862,19657.895,2829.264,2829.664,4453.264,4455.964,NA,NA
162,NA,NA,NA,3218.597,3218.731,19716.495,19716.629,2829.731,2830.031,4518.43,4519.697,NA,NA
163,NA,NA,NA,3218.864,3218.964,19716.662,19716.695,2830.197,2895.664,5450.497,5467.997,NA,NA
164,NA,NA,NA,3218.997,3221.531,19716.762,19725.895,2900.964,2900.997,5657.097,5658.097,NA,NA
165,NA,NA,NA,3225.864,3226.897,19725.995,19731.662,2913.164,2923.164,5671.897,5674.664,NA,NA
166,NA,NA,NA,3228.364,3228.864,19731.729,19731.995,3001.031,3001.431,5722.764,5727.164,NA,NA
167,NA,NA,NA,3301.464,3301.631,19732.029,19732.062,3001.664,3001.864,6985.197,6986.164,NA,NA
168,NA,NA,NA,3301.697,3301.831,19746.295,19746.329,3001.897,3002.197,7007.13,7025.397,NA,NA
169,NA,NA,NA,3302.664,3302.797,19746.362,19747.029,3024.431,3024.531,7026.03,7029.53,NA,NA
170,NA,NA,NA,3302.931,3303.597,19747.062,19749.129,3034.497,3040.597,9382.03,9407.863,NA,NA
171,NA,NA,NA,3304.664,3305.331,19749.262,19749.362,3040.631,3040.931,9423.53,9440.197,NA,NA
172,NA,NA,NA,3305.397,3305.464,19750.562,19750.895,3040.964,3041.031,9492.263,9513.197,NA,NA
173,NA,NA,NA,3308.464,3310.364,19758.162,19758.462,3047.831,3047.964,9513.363,9514.097,NA,NA
174,NA,NA,NA,3314.031,3317.831,19760.229,19762.895,3048.597,3048.631,9514.497,9515.23,NA,NA
175,NA,NA,NA,3377.364,3378.231,19781.895,19782.629,3049.697,3050.564,9515.263,9516.03,NA,NA
176,NA,NA,NA,3378.297,3378.364,19782.995,19784.995,3050.597,3052.231,9518.963,9551.563,NA,NA
177,NA,NA,NA,3545.531,3550.131,19881.929,19884.962,3052.297,3054.297,9551.897,9552.897,NA,NA
178,NA,NA,NA,3555.364,3555.431,19885.029,19907.262,3054.397,3054.464,9554.697,9557.897,NA,NA
179,NA,NA,NA,3555.464,3555.497,19940.429,19940.462,3054.497,3054.531,9559.197,9567.13,NA,NA
180,NA,NA,NA,3555.897,3555.931,20059.429,20062.895,3054.597,3054.797,9567.597,9787.263,NA,NA
181,NA,NA,NA,3556.731,3558.064,20072.862,20073.129,3055.797,3056.031,12496.929,12497.796,NA,NA
182,NA,NA,NA,3558.131,3558.397,20073.329,20073.495,3058.931,3059.264,12758.496,12768.163,NA,NA
183,NA,NA,NA,3558.431,3558.564,NA,NA,3060.064,3060.197,12768.663,12768.729,NA,NA
184,NA,NA,NA,3560.931,3561.564,NA,NA,3060.464,3066.364,12768.929,12772.096,NA,NA
185,NA,NA,NA,3561.697,3562.497,NA,NA,3073.864,3074.097,13244.629,13244.696,NA,NA
186,NA,NA,NA,3594.397,3594.63,NA,NA,3076.064,3090.131,13245.429,13248.929,NA,NA
187,NA,NA,NA,3594.864,3595.53,NA,NA,3144.597,3169.497,13249.029,13249.163,NA,NA
188,NA,NA,NA,3595.63,3595.73,NA,NA,3169.631,3170.831,13251.096,13258.096,NA,NA
189,NA,NA,NA,3596.264,3596.897,NA,NA,3171.231,3171.597,13261.029,13367.796,NA,NA
190,NA,NA,NA,3974.664,3974.83,NA,NA,3171.664,3171.697,13368.196,13368.529,NA,NA
191,NA,NA,NA,3974.897,3975.73,NA,NA,3171.731,3171.864,13368.796,13368.996,NA,NA
192,NA,NA,NA,3975.764,3975.797,NA,NA,3172.197,3213.031,13369.129,13369.596,NA,NA
193,NA,NA,NA,3975.83,3975.93,NA,NA,3216.264,3218.497,13935.363,13935.529,NA,NA
194,NA,NA,NA,3975.964,3976.03,NA,NA,3218.531,3218.597,13936.696,14033.429,NA,NA
195,NA,NA,NA,3976.43,3982.064,NA,NA,3218.731,3218.864,14033.829,14253.729,NA,NA
196,NA,NA,NA,4099.397,4108.797,NA,NA,3218.964,3218.997,14253.996,14254.329,NA,NA
197,NA,NA,NA,4195.997,4196.03,NA,NA,3221.531,3225.864,14254.363,14254.429,NA,NA
198,NA,NA,NA,4196.097,4253.764,NA,NA,3226.897,3228.364,14254.629,14254.663,NA,NA
199,NA,NA,NA,4275.164,4275.297,NA,NA,3228.864,3301.464,14255.029,14255.829,NA,NA
200,NA,NA,NA,4275.33,4275.397,NA,NA,3301.631,3301.697,14256.696,14274.596,NA,NA
201,NA,NA,NA,4276.564,4276.63,NA,NA,3301.831,3302.664,14322.163,14326.996,NA,NA
202,NA,NA,NA,4278.064,4285.43,NA,NA,3302.797,3302.931,14333.963,14339.096,NA,NA
203,NA,NA,NA,4290.33,4291.064,NA,NA,3303.597,3304.664,14436.663,14437.196,NA,NA
204,NA,NA,NA,4428.897,4430.097,NA,NA,3305.331,3305.397,14438.829,14445.596,NA,NA
205,NA,NA,NA,4433.264,4433.53,NA,NA,3305.464,3308.464,14479.129,14668.396,NA,NA
206,NA,NA,NA,4465.464,4465.764,NA,NA,3310.364,3314.031,14669.563,14670.463,NA,NA
207,NA,NA,NA,4467.93,4474.064,NA,NA,3317.831,3377.364,14672.429,14679.429,NA,NA
208,NA,NA,NA,5502.297,5502.597,NA,NA,3378.231,3378.297,14679.696,14679.863,NA,NA
209,NA,NA,NA,5502.997,5503.13,NA,NA,3378.364,3409.197,14680.296,14686.363,NA,NA
210,NA,NA,NA,5504.23,5504.364,NA,NA,3503.931,3507.531,14695.196,14702.396,NA,NA
211,NA,NA,NA,5504.464,5566.33,NA,NA,3538.664,3545.531,14703.129,14712.996,NA,NA
212,NA,NA,NA,5572.364,5595.63,NA,NA,3550.131,3555.364,14722.863,14722.929,NA,NA
213,NA,NA,NA,5598.664,5635.53,NA,NA,3555.431,3555.464,14772.929,14875.196,NA,NA
214,NA,NA,NA,7052.264,7052.297,NA,NA,3555.497,3555.897,14875.663,14875.763,NA,NA
215,NA,NA,NA,7052.53,7107.064,NA,NA,3555.931,3556.731,14878.729,14882.563,NA,NA
216,NA,NA,NA,7107.364,7107.397,NA,NA,3558.064,3558.131,14929.629,14930.429,NA,NA
217,NA,NA,NA,7107.664,7107.797,NA,NA,3558.397,3558.431,14935.996,15022.063,NA,NA
