"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop"
86,2124.4,2127.233333,1438.166667,1446.666667,1143.633333,1143.666667,1478.233333,1480.366667,1594.366667,1594.4
87,2131.433333,2138.8,1472.033333,1472.5,1143.766667,1143.833333,1480.533333,1481.466667,1594.466667,1594.533333
88,2150.466667,2152.666667,1473.2,1474.766667,1213.266667,1213.3,1491.2,1491.9,1595.1,1595.233333
89,2155.533333,2161.2,1475.466667,1477.766667,1213.633333,1213.7,1491.966667,1492,1609.833333,1609.966667
90,2162.333333,2211.733333,1498.533333,1498.866667,1213.766667,1216.5,1492.166667,1493.133333,1613.5,1619.4
91,2211.9,2212.466667,1498.933333,1499.833333,1218.166667,1218.2,1493.5,1493.566667,1687.8,1689.466667
92,2228.6,2229.166667,1500.1,1531.2,1220.566667,1223.7,1493.6,1493.633333,1689.533333,1691.366667
93,2230.3,2231,1622,1627.666667,1310.966667,1311.466667,1493.9,1493.933333,1691.4,1692.166667
94,2236.3,2237.066667,1634.166667,1634.233333,1311.5,1315.066667,1494,1494.066667,1723.866667,1723.9
95,2238.466667,2238.933333,1699.6,1709.566667,1435,1435.233333,1494.133333,1494.2,1724.2,1724.433333
96,2297.733333,2298.333333,1709.766667,1710.333333,1437.566667,1438.166667,1494.433333,1497.1,1731.566667,1731.666667
97,2299.6,2300.266667,1718.333333,1718.366667,1446.666667,1455.266667,1540.266667,1585.566667,1731.7,1731.766667
98,2305.933333,2311.933333,1718.433333,1718.5,1470.733333,1472.033333,1585.666667,1585.7,1732.1,1733.233333
99,2334.9,2335.366667,1718.566667,1719.2,1472.5,1473.2,1585.766667,1586.133333,1918.966667,1919.7
100,2339.033333,2339.266667,1753.766667,1758.366667,1474.766667,1475.466667,1586.466667,1586.633333,1921.366667,1924.366667
101,2340.033333,2340.4,1760.3,1760.366667,1477.766667,1477.966667,1586.666667,1586.7,1947.1,1947.666667
102,2342.2,2345.2,1776.333333,1787.9,1481.866667,1488.733333,1586.9,1589.333333,1955.566667,1956.2
103,2346.366667,2346.7,1813.166667,1814.333333,1497.466667,1498.533333,1590,1590.1,2068.033333,2068.1
104,2348.033333,2348.433333,1820.833333,1821,1498.866667,1498.933333,1593,1593.833333,2071.8,2071.966667
105,2366.866667,2367.3,1824.533333,1825,1499.833333,1500.1,1593.966667,1594.366667,2104.833333,2104.866667
106,2368.6,2368.966667,1858.266667,1876.333333,1531.2,1531.466667,1594.4,1594.466667,2113,2119.633333
107,2372.5,2373.633333,1876.7,1880.633333,1621.9,1622,1594.533333,1595.1,2119.7,2119.8
108,2481.066667,2481.466667,1969.333333,1969.566667,1627.666667,1634.166667,1595.233333,1609.833333,2119.933333,2120
109,2482.9,2483.266667,1970.2,1970.933333,1634.233333,1676.066667,1609.966667,1613.5,2229.666667,2229.733333
110,2590.266667,2590.333333,1971.1,1971.9,1696.733333,1699.6,1619.4,1619.766667,2229.9,2229.933333
111,2591.8,2602.266667,1972.233333,1972.3,1709.566667,1709.766667,1683,1687.8,2229.966667,2230.166667
112,2689.9,2703,1972.433333,1973.433333,1710.333333,1714.233333,1689.466667,1689.533333,2243.733333,2244.533333
113,2713.833333,2721,1973.566667,1978.833333,1717.7,1718.333333,1691.366667,1691.4,2289.6,2289.7
114,2721.033333,2734.5,1991.533333,1996.133333,1718.366667,1718.433333,1692.166667,1693.366667,2289.733333,2290
115,2745.1,2746.533333,2025.4,2027.033333,1718.5,1718.566667,1723.5,1723.866667,2292.7,2294.4
116,2746.633333,2748.066667,2027.7,2027.833333,1719.2,1719.866667,1723.9,1724.2,2313.166667,2313.333333
117,2791.266667,2796.2,2027.933333,2030.566667,1734.366667,1753.766667,1724.433333,1725.1,2602.966667,2603.066667
118,2804.566667,2806.5,2030.7,2032.066667,1758.366667,1760.3,1727.133333,1731.566667,2603.366667,2603.533333
119,2955.5,2970.233333,2032.1,2032.133333,1760.366667,1776.333333,1731.666667,1731.7,2606.4,2607.5
120,2996.666667,3001.166667,2032.233333,2060.9,1787.9,1813.166667,1731.766667,1732.1,2618.566667,2618.8
121,3145.066667,3146.4,2061.033333,2061.833333,1814.333333,1820.833333,1733.233333,1733.8,2618.966667,2619
122,3297.2,3300.166667,2063.5,2065,1821,1824.533333,1889.066667,1918.966667,2621.733333,2621.8
123,3301.8,3302.266667,2094.7,2099.1,1825,1858.266667,1919.7,1921.366667,2621.866667,2621.9
124,3415.4,3434.833333,2141.166667,2141.233333,1876.333333,1876.7,1924.366667,1924.966667,2622.033333,2622.766667
125,3437.8,3440.9,2142.166667,2142.366667,1880.633333,1880.7,1945.866667,1947.1,2622.9,2622.966667
126,3488.933333,3489.366667,2142.466667,2142.5,1957.3,1969.333333,1947.666667,1955.566667,2623.833333,2623.866667
127,3494,3494.1,2149.833333,2150.433333,1969.566667,1970.2,1956.2,1956.666667,2623.9,2623.966667
128,3512.866667,3514.266667,2152.866667,2153.1,1970.933333,1971.1,2071.566667,2071.8,2624.733333,2630.266667
129,3542.7,3543.266667,2231.5,2232.3,1971.9,1972.233333,2071.966667,2072.4,2630.4,2630.466667
130,3673.1,3681.366667,2235.366667,2236.033333,1972.3,1972.433333,2104.633333,2104.833333,2630.6,2630.633333
131,3732.366667,3737.233333,2237.333333,2238.2,1973.433333,1973.566667,2104.866667,2113,2631,2631.066667
132,3756.8,3759.2,2299.1,2299.266667,1978.833333,1991.533333,2119.633333,2119.7,2631.1,2631.166667
133,3786.266667,3788.066667,2335.666667,2336.033333,1996.133333,1996.166667,2119.8,2119.933333,2631.366667,2631.566667
134,3812.633333,3831.733333,2336.233333,2338.033333,2003.633333,2003.733333,2120,2124.4,2631.666667,2636.933333
135,3874.933333,3876.266667,2338.133333,2338.8,2003.766667,2018.266667,2127.233333,2131.433333,2637.066667,2643.433333
136,3877.833333,3895.6,2345.366667,2346.033333,2018.4,2025.4,2161.2,2162.333333,2643.866667,2644.033333
137,3908.2,3910.266667,2348.7,2350.1,2027.033333,2027.7,2229.166667,2229.666667,2644.1,2645.333333
138,4021.566667,4022,2351,2351.233333,2027.833333,2027.933333,2229.733333,2229.9,2645.966667,2647.233333
139,4024.633333,4025.7,2352.6,2353.533333,2030.566667,2030.7,2229.933333,2229.966667,2648.366667,2648.733333
140,4028.866667,4029.866667,2353.733333,2354.266667,2032.066667,2032.1,2230.166667,2230.3,2649.966667,2651.233333
141,4033.733333,4034.3,2355.3,2355.5,2032.133333,2032.233333,2238.933333,2243.733333,2652.4,2657.133333
142,4210.366667,4213.466667,2362.8,2363.366667,2060.9,2061.033333,2244.533333,2289.6,2657.566667,2671.566667
143,4228.366667,4231.066667,2369.433333,2369.6,2061.833333,2063.5,2289.7,2289.733333,2721,2721.033333
144,4262.5,4289.4,2369.9,2370,2065,2065.566667,2290,2292.7,2749.433333,2749.566667
145,4291.2,4292.166667,2371.533333,2371.966667,2069.133333,2071.033333,2294.4,2297.733333,2768.666667,2768.8
146,4300.4,4303.333333,2373.966667,2378.6,2082.266667,2094.7,2300.266667,2305.933333,2768.833333,2768.866667
147,4334,4344.766667,2378.666667,2378.866667,2099.1,2100.066667,2311.933333,2313.166667,2769.3,2769.433333
148,4388.133333,4390.166667,2378.966667,2379.566667,2138.8,2141.166667,2313.333333,2334.9,2770.033333,2770.2
149,4631.633333,4633.7,2465.2,2472,2141.233333,2142.166667,2339.266667,2340.033333,2770.366667,2770.4
150,4633.933333,4635.833333,2484.233333,2484.333333,2142.366667,2142.466667,2346.7,2348.033333,2770.433333,2770.7
151,4678.2,4688.433333,2490.3,2492.466667,2142.5,2149.833333,2367.3,2368.6,2770.9,2771.066667
152,4719.4,4724.366667,2492.9,2493.566667,2150.433333,2150.466667,2481.466667,2482.9,2771.733333,2773.5
153,4729.466667,4731.633333,2493.6,2493.733333,2152.666667,2152.866667,2602.266667,2602.966667,2773.666667,2774
154,4766.066667,4769.866667,2495.033333,2495.966667,2153.1,2155.533333,2603.066667,2603.366667,2774.4,2776.166667
155,4856.9,4867.233333,2497.266667,2497.3,2211.733333,2211.9,2603.533333,2606.4,2797.233333,2797.5
