"X1","Center_start","Center_stop","Left_start","Left_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop"
94,2310.167,2327.333,619.733,622.1,NA,NA,808.8,810.867,834.933,835.133,1014.833,1014.9
95,2327.533,2332.167,622.567,622.633,NA,NA,811,811.367,852.267,852.333,1017.167,1017.9
96,2336.867,2337.3,622.967,623,NA,NA,814.833,816.7,875.567,875.733,1018.1,1027.1
97,2349.167,2349.267,623.167,623.233,NA,NA,816.967,817.4,875.867,876,1040.1,1040.9
98,2349.4,2378.667,623.3,623.4,NA,NA,818.833,819.067,876.233,883.833,1047.967,1048.233
99,2380.5,2387.467,623.467,625.167,NA,NA,819.433,819.6,884.133,885,1048.367,1048.7
100,2405.5,2405.733,628.867,634.133,NA,NA,819.933,820,885.2,885.733,1048.833,1049.767
101,2408.1,2422.867,634.567,639.5,NA,NA,820.033,820.133,887.3,888.133,1049.967,1050.433
102,2422.967,2429.233,639.6,639.733,NA,NA,820.2,822.2,888.2,888.7,1060.967,1061.433
103,2434.067,2434.9,639.967,640.333,NA,NA,822.433,834.933,917.4,917.967,1062.2,1065.967
104,2436.733,2442.233,665.167,673.067,NA,NA,835.133,835.167,923.533,923.933,1067.467,1067.7
105,2442.533,2444.333,714.3,721.167,NA,NA,847.567,852.267,935.3,935.367,1067.8,1068.1
106,2445.167,2452.633,721.333,728.3,NA,NA,852.333,875.567,935.767,936.633,1068.733,1069.167
107,2453.133,2453.533,798.8,807.2,NA,NA,875.733,875.867,937.4,937.667,1069.5,1070.2
108,2491.333,2495.367,807.333,807.433,NA,NA,876,876.233,937.767,937.833,1070.333,1071.3
109,2495.5,2495.967,807.933,808.033,NA,NA,883.833,884.133,938.633,939.067,1071.333,1071.367
110,2506.5,2508.833,808.3,808.467,NA,NA,885,885.2,955.4,955.633,1072.6,1072.667
111,2536.733,2537.633,837.267,837.567,NA,NA,885.733,887.3,955.767,956.1,1073.2,1074.433
112,2542.133,2542.5,837.667,837.867,NA,NA,888.133,888.2,980.167,981.033,1078.9,1079.067
113,2560.167,2581.867,838.267,838.367,NA,NA,888.7,917.4,981.367,997.633,1079.133,1079.3
114,2598.6,2625.533,1012.633,1014.833,NA,NA,917.967,923.533,1100.967,1102.333,1086.133,1086.367
115,2628.733,2631.267,1014.9,1017.167,NA,NA,923.933,935.3,1102.5,1102.6,1087.533,1087.867
116,2633.167,2640.533,1017.9,1018.1,NA,NA,935.367,935.767,1119.433,1119.467,1088.667,1088.7
117,2640.667,2654.1,1027.1,1027.633,NA,NA,936.633,937.4,1120,1120.667,1088.733,1089.267
118,2654.533,2655.033,1034.5,1040.1,NA,NA,937.667,937.767,1146.333,1146.367,1089.9,1092.733
119,2873.233,2875.3,1040.9,1041.167,NA,NA,937.833,938.633,1191.733,1192.933,1092.767,1096.067
120,2885.167,2885.533,1047.5,1047.967,NA,NA,939.067,939.2,1199.5,1205.5,1097,1097.033
121,2923.933,2925.267,1048.233,1048.367,NA,NA,948.767,955.4,1205.867,1206.667,1097.067,1098.833
122,2950.233,2950.633,1048.7,1048.833,NA,NA,955.633,955.767,1206.7,1206.8,1099.2,1099.367
123,2952.3,2954.2,1049.767,1049.967,NA,NA,956.1,980.167,1207.6,1225.967,1114.467,1114.567
124,2965.533,2966.933,1050.433,1050.5,NA,NA,981.033,981.367,1242.933,1243.1,1114.8,1115.2
125,2994.667,2994.9,1055.267,1060.967,NA,NA,997.633,1008.633,1254.667,1254.9,1116.5,1117.167
126,3005.1,3005.6,1061.433,1062.2,NA,NA,1028.033,1031.3,1346.067,1357.833,1117.767,1117.967
127,3055.567,3055.833,1065.967,1067.467,NA,NA,1050.9,1052.867,1357.9,1362.033,1187.7,1188.8
128,3060.367,3067.3,1067.7,1067.8,NA,NA,1100.8,1100.967,1362.367,1363.133,1189.033,1189.267
129,3092.333,3092.667,1068.1,1068.733,NA,NA,1102.333,1102.5,1363.167,1363.2,1189.633,1190.1
130,3095.6,3098.4,1069.167,1069.5,NA,NA,1102.6,1104.1,1363.3,1363.5,1190.233,1190.667
131,3370.733,3371,1070.2,1070.333,NA,NA,1118.8,1119.433,1363.633,1379.333,1380.3,1380.733
132,3374.367,3412.433,1071.3,1071.333,NA,NA,1119.467,1120,1379.4,1379.467,1380.967,1381.1
133,3416.4,3466.433,1071.367,1072.6,NA,NA,1120.667,1122.1,1440.433,1440.633,1381.133,1381.633
134,3466.7,3467.433,1072.667,1073.2,NA,NA,1145.967,1146.333,1579.7,1581.333,1384.7,1384.733
135,3468,3498.233,1074.433,1078.9,NA,NA,1146.367,1162.8,1581.767,1581.8,1387.1,1388.3
136,3498.533,3498.833,1079.067,1079.133,NA,NA,1166.367,1179.567,1581.833,1581.867,1388.7,1389.1
137,3498.967,3499,1079.3,1079.767,NA,NA,1180.867,1183.2,1612.233,1615.7,1389.367,1390.967
138,3499.433,3499.667,1084,1086.133,NA,NA,1191.033,1191.733,1616.533,1616.733,1394.567,1394.667
139,3504.3,3504.633,1086.367,1087.533,NA,NA,1192.933,1199.5,1617.067,1617.667,1394.8,1395.8
140,3557.3,3585.2,1087.867,1088.667,NA,NA,1205.5,1205.867,1632.067,1632.5,1397.067,1397.967
141,3590.1,3627.967,1088.7,1088.733,NA,NA,1206.667,1206.7,1633.433,1633.533,1398.367,1398.667
142,3639.733,3640.1,1089.267,1089.9,NA,NA,1206.8,1207.6,1633.667,1633.8,1398.8,1402.667
143,3665.1,3716.567,1092.733,1092.767,NA,NA,1225.967,1231.433,1648.733,1649,1403.067,1404
144,3719.233,3719.6,1096.067,1097,NA,NA,1241.333,1242.933,1708.567,1708.733,1404.1,1404.667
145,3722.867,3752.067,1097.033,1097.067,NA,NA,1243.1,1254.667,1708.833,1709.267,1404.8,1405.133
146,3755.6,3755.933,1098.833,1099.2,NA,NA,1254.9,1346.067,1709.433,1710.167,1405.2,1405.933
147,3781.033,3783.533,1099.367,1100.1,NA,NA,1357.833,1357.9,1762.167,1762.233,1406.2,1408.167
148,3788.933,4020.433,1104.933,1114.467,NA,NA,1362.033,1362.367,1762.3,1762.433,1408.5,1409.7
149,4031.133,4123.833,1114.567,1114.8,NA,NA,1363.133,1363.167,1769.267,1769.733,1409.733,1414.167
150,4180.867,4186.967,1115.2,1116.5,NA,NA,1363.2,1363.3,1769.9,1775.333,1415.033,1415.267
151,4204.367,4204.567,1117.167,1117.767,NA,NA,1363.5,1363.633,1775.6,1775.867,1415.567,1415.933
152,4228.167,4231,1117.967,1118.533,NA,NA,1379.333,1379.4,1797,1797.567,1416.533,1416.633
153,4232,4234.367,1185.633,1187.7,NA,NA,1379.467,1379.633,1800,1800.733,1416.733,1416.767
154,4238,4333.267,1188.8,1189.033,NA,NA,1417.5,1420.167,1801.667,1803.933,1416.867,1416.967
155,4367,4381.1,1189.267,1189.633,NA,NA,1439.6,1440.433,1804,1804.067,1438.3,1438.333
156,4392.9,4399.067,1190.1,1190.233,NA,NA,1440.633,1440.833,1804.567,1805.433,1438.4,1438.7
157,4399.133,4400.333,1190.667,1190.733,NA,NA,1563.8,1564.2,1807.7,1808.033,1463.867,1463.933
158,4408.7,4408.967,1380.167,1380.3,NA,NA,1571.333,1579.7,1877.4,1877.767,1556.3,1561.833
159,4429.733,4433.067,1380.733,1380.967,NA,NA,1581.333,1581.767,1877.8,1877.9,1586.867,1588.033
160,4454.8,4487.667,1381.1,1381.133,NA,NA,1581.8,1581.833,1877.967,1878.467,1588.167,1588.267
161,4493.5,4499.633,1381.633,1384.7,NA,NA,1581.867,1583.833,1878.9,1879.067,2401.4,2402.067
162,4501.067,4501.667,1384.733,1387.1,NA,NA,1588.867,1612.233,1879.2,1879.433,2404.4,2404.433
163,4798.467,4822.767,1388.3,1388.7,NA,NA,1615.7,1616.533,1879.467,1881.9,2404.8,2405.133
164,4824.967,4853.767,1389.1,1389.367,NA,NA,1616.733,1617.067,1881.933,1881.967,2405.3,2405.333
165,4998.9,5001.8,1390.967,1394.567,NA,NA,1617.667,1632.067,1882.233,1882.933,2442.4,2442.467
166,5015.1,5023.233,1394.667,1394.8,NA,NA,1632.5,1633.433,2273.8,2274.067,2495.367,2495.467
167,5027.233,5042.567,1395.8,1397.067,NA,NA,1633.533,1633.667,2274.167,2274.5,2541.2,2541.5
168,5043.467,5074.033,1397.967,1398.367,NA,NA,1633.8,1635.233,2274.533,2287.933,2541.633,2541.767
169,5087.333,5089.8,1398.667,1398.8,NA,NA,1641.633,1648.733,2288.033,2302.033,2878.8,2879.367
170,5168.7,5169.167,1402.667,1403.067,NA,NA,1649,1665.867,2309.633,2309.767,2945.633,2945.967
171,5170.967,5171.433,1404,1404.1,NA,NA,1670.6,1670.9,2337.467,2337.633,2947.8,2948
172,5176.367,5261.967,1404.667,1404.8,NA,NA,1708.367,1708.567,2339.167,2339.333,2949.167,2949.667
173,5262.933,5263.3,1405.133,1405.2,NA,NA,1708.733,1708.833,2339.4,2339.6,2962.767,2962.8
174,5341.333,5346.567,1405.933,1406.2,NA,NA,1709.267,1709.433,2435.3,2436.467,2980.233,2980.333
175,5353.467,5432.1,1408.167,1408.5,NA,NA,1710.167,1743.8,2453.533,2453.567,2983.867,2983.9
176,5457.8,5461.4,1409.7,1409.733,NA,NA,1757.267,1762.167,2458.5,2458.567,2984.3,2984.4
177,5478.867,5486.267,1414.167,1415.033,NA,NA,1762.233,1762.3,2458.6,2459.167,2986.233,2986.267
178,5489.5,5491.5,1415.267,1415.567,NA,NA,1762.433,1764.767,2459.4,2459.5,2986.367,2986.567
