"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
74,10133.366,10141.699,3694.033,3698,837.4,838.067,1048.9,1049.467,3698.133,3698.267,NA,NA,NA,NA
75,10145.266,10279.699,3698.067,3698.133,838.134,838.234,1063.067,1063.767,3698.4,3698.7,NA,NA,NA,NA
76,10293.699,10386.999,3698.267,3698.4,838.567,840.5,1912,1912.234,3703.7,3704.233,NA,NA,NA,NA
77,10390.199,10421.232,3698.7,3703.7,841.734,846,1912.3,1912.4,3704.5,3705.7,NA,NA,NA,NA
78,10497.432,10505.766,3704.233,3704.5,846.267,846.534,1912.867,1913.3,3891.9,3892.233,NA,NA,NA,NA
79,10541.999,10542.199,3705.7,3705.833,850.6,852,1916.834,1916.9,3892.3,3892.6,NA,NA,NA,NA
80,10543.399,10562.699,3894.333,3896.733,952.567,1046.767,1917.267,1917.4,3892.7,3892.733,NA,NA,NA,NA
81,10748.232,10756.099,3898.667,3911.133,1047.067,1048.634,1917.6,1918.067,3892.933,3893.1,NA,NA,NA,NA
82,10980.165,10998.265,3911.167,3911.267,1048.867,1048.9,1918.1,1918.467,3896.733,3898.667,NA,NA,NA,NA
83,11255.932,11265.065,3911.3,3912,1049.467,1049.9,1918.567,1919.034,3911.133,3911.167,NA,NA,NA,NA
84,11266.632,11268.498,3912.2,3913.867,1051.734,1063.067,1919.3,1921.134,3911.267,3911.3,NA,NA,NA,NA
85,11269.498,11270.032,4209.6,4218.367,1063.767,1065.6,1921.167,1921.567,3912,3912.2,NA,NA,NA,NA
86,11290.832,11321.965,4218.433,4219.767,1473,1912,1921.734,1921.767,4208.433,4208.5,NA,NA,NA,NA
87,11409.032,11410.798,4219.8,4220,1912.234,1912.3,1921.867,1922.6,4218.367,4218.433,NA,NA,NA,NA
88,11410.965,11411.398,4263.367,4282.933,1912.4,1912.867,1923.4,1932.7,4219.767,4219.8,NA,NA,NA,NA
89,11430.598,11438.832,4283.4,4283.633,1913.3,1916.834,1932.834,1934.2,4282.933,4283.4,NA,NA,NA,NA
90,11576.298,11577.898,4309.1,4370.9,1916.9,1917.267,1934.6,1934.734,4530.9,4531.267,NA,NA,NA,NA
91,11656.398,11657.532,4370.933,4371.033,1917.4,1917.6,2193.534,2193.6,4532.533,4532.9,NA,NA,NA,NA
92,11729.398,11731.298,4484.5,4530.9,1918.067,1918.1,2193.667,2193.734,4533,4533.4,NA,NA,NA,NA
93,12435.632,12444.732,4531.267,4532.533,1918.467,1918.567,2193.8,2193.867,6686.033,6686.733,NA,NA,NA,NA
94,12465.065,12569.065,4532.9,4533,1919.034,1919.3,2254.5,2254.534,6687,6687.067,NA,NA,NA,NA
95,12586.532,12587.498,4533.4,4534.133,1921.134,1921.167,2254.567,2254.734,6687.433,6688.267,NA,NA,NA,NA
96,12650.232,12651.498,6682.333,6686.033,1921.567,1921.734,2254.767,2254.834,9691.432,9691.566,NA,NA,NA,NA
97,12653.065,12654.198,6686.733,6687,1921.767,1921.867,2254.867,2254.9,9692.899,9692.966,NA,NA,NA,NA
98,12728.498,12804.932,6687.067,6687.433,1922.6,1923.4,2256.267,2256.334,9692.999,9693.532,NA,NA,NA,NA
99,12978.598,12979.432,6688.267,6693.733,1932.7,1932.834,2257.234,2257.667,9693.566,9706.399,NA,NA,NA,NA
100,13013.198,13082.132,9689.099,9691.432,1934.2,1934.6,2258.234,2258.5,9706.532,9706.666,NA,NA,NA,NA
101,13215.198,13220.698,9691.566,9692.899,1934.734,1945.9,2259.134,2259.167,9707.266,9707.532,NA,NA,NA,NA
102,13360.965,13361.198,9692.966,9692.999,2054.234,2065.867,2259.534,2259.667,9712.566,9712.599,NA,NA,NA,NA
103,13361.665,13363.898,9693.532,9693.566,2112.4,2193.534,2262.167,2265.434,9874.399,9874.432,NA,NA,NA,NA
