"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
168,2175.467,2178.8,4292.933,4293.333,5187.433,5190.967,2675.267,2676.9,3632.867,3633.7,NA,NA,NA,NA
169,2179.3,2209.2,4296.633,4299.533,5209.067,5210.433,2678.167,2679.7,3633.767,3633.8,NA,NA,NA,NA
170,2209.433,2209.533,4621.333,4621.8,5212.5,5220.233,2690.467,2709.767,3633.867,3633.9,NA,NA,NA,NA
171,2209.567,2209.6,4622.133,4623.6,5226.5,5229.367,2710.333,2711.867,3634.067,3634.5,NA,NA,NA,NA
172,2210.133,2210.667,4623.733,4624.333,5238.333,5238.367,2867.6,2867.767,3634.567,3634.6,NA,NA,NA,NA
173,2214.267,2223.067,4871.767,4871.867,5238.567,5238.733,2912.333,2912.633,3634.667,3634.7,NA,NA,NA,NA
174,2225.5,2225.967,4885.467,4885.5,5238.767,5243.633,2932.367,2958.1,3636.1,3638.2,NA,NA,NA,NA
175,2244.5,2252.5,4885.533,4886.633,5248.1,5248.6,2958.467,2958.633,3640.567,3640.7,NA,NA,NA,NA
176,2257.167,2275.267,4890.633,4890.833,5457.567,5458.233,2962.167,2964.7,3640.8,3641.133,NA,NA,NA,NA
177,2279.567,2279.667,4890.867,4891.067,5467.833,5493.3,2964.833,2991.633,3641.4,3641.867,NA,NA,NA,NA
178,2279.933,2282.9,4893.3,4893.4,5510.733,5510.767,2991.933,2992.167,3651.1,3651.667,NA,NA,NA,NA
179,2283.367,2357.967,4893.667,4893.7,5537.1,5537.533,3039.333,3046.133,3652,3652.133,NA,NA,NA,NA
180,2394.2,2402.333,4893.733,4893.767,5542.5,5545.867,3046.833,3046.9,3652.267,3653.633,NA,NA,NA,NA
181,2432.7,2451.7,5014.633,5014.867,5626.133,5641.933,3059.933,3065.7,3656.333,3662.5,NA,NA,NA,NA
182,2456.567,2456.633,5050,5050.133,5641.967,5644.3,3065.733,3065.8,3662.667,3662.7,NA,NA,NA,NA
183,2456.733,2456.833,5135.6,5135.633,5669.033,5669.433,3065.867,3066.633,3663.833,3663.9,NA,NA,NA,NA
184,2457.833,2458.633,5135.8,5135.867,5696,5696.867,3066.8,3067.133,3664,3664.167,NA,NA,NA,NA
185,2459.433,2461.333,5136.567,5137,5700.433,5701.267,3069.233,3069.367,3665.1,3665.2,NA,NA,NA,NA
186,2475.333,2489.033,5137.067,5137.6,5708.367,5708.833,3069.4,3074.933,3665.8,3665.833,NA,NA,NA,NA
187,2506.7,2508.967,5142.9,5142.933,5717.067,5723.533,3158.033,3159.233,3679.067,3679.167,NA,NA,NA,NA
188,2509.267,2510.9,5143.567,5143.7,5728.2,5743,3159.3,3159.467,3679.567,3679.6,NA,NA,NA,NA
189,2512.033,2512.233,5144.1,5144.133,5817.8,5828.3,3159.6,3159.933,3679.7,3680,NA,NA,NA,NA
190,2515.7,2550.067,5144.5,5144.633,5852.1,5856.733,3164.933,3165,3680.033,3680.067,NA,NA,NA,NA
191,2550.633,2551.5,5145.3,5145.467,5875.367,5888.267,3167.433,3167.7,3680.1,3680.267,NA,NA,NA,NA
192,2552.567,2627.067,5546.067,5546.1,5888.4,5888.5,3180.833,3185.033,3680.867,3681.3,NA,NA,NA,NA
193,2629.167,2633.967,5546.133,5546.167,5905.033,5907.367,3186.3,3190.667,3681.333,3681.533,NA,NA,NA,NA
194,2634.167,2634.233,5546.433,5547.933,5907.433,5909.733,3271.433,3272.2,3682.433,3682.567,NA,NA,NA,NA
195,2634.433,2652.833,5553.5,5553.7,5910.933,5911.133,3274.6,3287,3682.967,3683,NA,NA,NA,NA
196,2667.133,2667.3,5553.8,5559.1,5911.2,5912.267,3287.2,3288.6,3688.567,3688.6,NA,NA,NA,NA
197,2667.467,2674.367,5560.1,5565.533,5917.333,5917.4,3344.033,3349.033,3691.7,3694.967,NA,NA,NA,NA
198,2674.5,2674.667,5583.867,5584.8,5917.633,5917.8,3350.4,3354.3,3695.1,3695.467,NA,NA,NA,NA
199,2674.767,2674.8,5586.067,5586.833,5921.133,5935.7,3355,3355.633,3698.667,3700.6,NA,NA,NA,NA
200,2715.667,2716.133,5625.633,5625.7,5936.533,5938.733,3361.667,3362.767,3705.4,3715.733,NA,NA,NA,NA
201,2716.5,2718.367,5657.5,5658.133,5957.567,6000.3,3362.9,3364.733,3715.933,3716.133,NA,NA,NA,NA
202,2718.433,2720.533,5858.067,5864.267,6008.133,6011.3,3364.867,3365.267,3716.233,3716.267,NA,NA,NA,NA
203,2723.267,2805.433,5865.6,5865.733,6016.1,6020.167,3365.467,3366.633,3718.933,3719.2,NA,NA,NA,NA
204,2805.633,2815.567,5865.833,5866.467,6026.067,6026.467,3369.467,3390.467,3719.9,3722.3,NA,NA,NA,NA
205,2817.767,2822.533,5866.567,5866.667,6030.4,6039.467,3393.233,3393.333,3722.567,3722.6,NA,NA,NA,NA
206,2822.6,2822.733,5871.867,5871.9,6039.9,6040.467,3393.367,3393.4,3723.3,3723.367,NA,NA,NA,NA
207,2822.8,2823.133,5872.367,5872.833,6078.3,6079.133,3395.3,3395.367,3727.833,3730.667,NA,NA,NA,NA
208,2823.8,2824.733,5873,5873.667,6250.833,6251.7,3395.4,3395.433,3731,3731.233,NA,NA,NA,NA
209,2826.667,2827.4,6316.233,6317.767,6267.333,6271.6,3398.9,3398.967,3731.4,3750.433,NA,NA,NA,NA
210,2828.367,2828.433,6318.9,6319.4,6441.867,6445.933,3399,3399.033,3750.7,3751.367,NA,NA,NA,NA
211,2829,2864.233,6319.433,6319.6,6483.867,6486.433,3401.333,3401.967,3751.4,3756.167,NA,NA,NA,NA
212,2913.8,2921.8,6319.933,6321.167,6548.4,6549.333,3412.933,3413.867,3756.3,3756.567,NA,NA,NA,NA
213,2923.533,2926.933,6321.3,6321.433,6550.067,6551.033,3413.9,3420.033,3757.967,3758.2,NA,NA,NA,NA
214,2928.467,2929.6,6321.567,6322.333,6562.7,6578.133,3433.933,3445,3758.467,3758.7,NA,NA,NA,NA
215,2929.7,2930.8,6322.367,6322.467,6579.6,6580.6,3468.967,3470.4,3758.833,3760.967,NA,NA,NA,NA
216,2931.6,2931.933,6347.367,6347.533,6585.067,6597.7,3475.8,3475.967,3761,3761.233,NA,NA,NA,NA
217,3031.867,3035.4,6404,6405.533,6597.9,6601.2,3491.4,3493.033,3761.267,3761.7,NA,NA,NA,NA
218,3075.5,3079.9,6405.667,6405.867,6601.9,6602.167,3494.367,3509.333,3769.967,3770,NA,NA,NA,NA
219,3085.267,3092.9,6408.7,6408.733,6602.367,6604.633,3574.167,3576.1,3770.067,3770.333,NA,NA,NA,NA
220,3097.933,3099.333,6409.2,6410.333,6625.533,6631.7,3628.167,3629.333,3800.133,3800.367,NA,NA,NA,NA
