"X1","Center_start","Center_stop","Unknown_start","Unknown_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop"
77,5501.933,5511.666,NA,NA,867.633,869.067,839.733,839.933,4884.166,4884.233,5435.533,5435.566,NA,NA
78,5523.833,5524.666,NA,NA,869.333,870.367,848.467,848.833,4884.433,4884.933,5438.2,5438.266,NA,NA
79,5550.366,5583.7,NA,NA,870.633,885.5,865,867.267,4956.466,4956.5,5438.333,5438.466,NA,NA
80,5630.566,5631.666,NA,NA,885.633,939.733,867.367,867.633,4957.633,4957.7,5438.833,5438.9,NA,NA
81,5667.3,5677.133,NA,NA,941.767,941.9,869.067,869.333,4957.766,4958.066,5442.3,5442.366,NA,NA
82,5715.6,5719.7,NA,NA,942.067,945.367,870.367,870.633,4958.366,4960.633,5446.166,5446.2,NA,NA
83,5739.1,5792.066,NA,NA,945.467,945.633,885.5,885.633,4988.2,5073.333,5492.133,5492.966,NA,NA
84,5792.133,5800.533,NA,NA,954.267,954.433,939.733,941.767,5095.566,5118.9,5496,5496.466,NA,NA
85,5802.5,5802.6,NA,NA,954.533,955.067,941.9,942.067,5378.433,5378.5,5496.633,5500.233,NA,NA
86,5802.633,5803.066,NA,NA,955.1,955.833,945.367,945.467,5378.666,5380.366,5519.4,5519.433,NA,NA
87,5803.333,5811.5,NA,NA,956.367,961.333,945.633,945.9,5384,5389.633,5522.933,5522.966,NA,NA
88,6828.666,6829.466,NA,NA,1023.267,1025.767,950.333,954.267,5396.466,5396.9,5827.5,5827.633,NA,NA
89,7879.966,7885.199,NA,NA,1026.167,1026.633,954.433,954.533,5397.033,5397.366,5827.9,5828.033,NA,NA
90,7940.633,7949.233,NA,NA,1026.733,1026.8,955.067,955.1,5397.433,5397.566,5828.133,5828.233,NA,NA
91,7994.833,7996.899,NA,NA,1026.933,1037.4,955.833,956.367,5399.233,5399.266,8010.433,8010.599,NA,NA
92,8032.699,8040.266,NA,NA,1037.433,1037.533,961.333,969.233,5399.533,5399.6,8010.766,8010.899,NA,NA
93,8056.099,8070.399,NA,NA,1037.8,1042.967,1022.967,1023.267,5399.733,5400.066,8013.166,8018.666,NA,NA
94,8090.199,8090.866,NA,NA,1043.733,1044.4,1025.767,1026.167,5400.166,5400.766,8018.799,8023.799,NA,NA
95,8244.633,8245.599,NA,NA,1045.033,1048.333,1026.633,1026.733,5400.9,5401.133,8028.033,8032.033,NA,NA
96,8250.099,8257.166,NA,NA,1048.4,1048.467,1026.8,1026.933,5410.033,5412.633,8071.599,8072.066,NA,NA
97,8303.133,8379.933,NA,NA,1048.967,1049.767,1037.4,1037.433,5413.866,5417.233,8072.099,8073.233,NA,NA
98,8389.566,8392.566,NA,NA,1050.133,1063.5,1037.533,1037.8,5417.433,5417.6,8246.766,8249.633,NA,NA
99,8406.933,8409.966,NA,NA,1063.6,1073.8,1042.967,1043.733,5417.633,5418.8,8682.099,8682.399,NA,NA
100,8452.233,8547.133,NA,NA,1074.7,1090.133,1044.4,1045.033,5418.866,5419.1,8682.499,8682.533,NA,NA
101,8597.099,8612.633,NA,NA,1090.167,1090.367,1048.333,1048.4,5424.733,5426.033,8689.366,8689.999,NA,NA
102,8677.533,8679.033,NA,NA,1090.467,1092.7,1048.467,1048.967,5429.166,5429.666,8693.266,8693.399,NA,NA
103,8767.233,8784.333,NA,NA,1094.1,1178.267,1049.767,1050.133,5430.733,5432.533,8693.433,8693.499,NA,NA
104,8964.266,8965.299,NA,NA,1178.533,1189,1063.5,1063.6,5432.866,5433,8693.599,8693.666,NA,NA
105,8966.833,9030.699,NA,NA,1190.3,1191.567,1073.8,1074.7,5435.4,5435.433,8693.899,8708.399,NA,NA
106,9073.033,9082.933,NA,NA,1286.933,1287.167,1090.133,1090.167,5435.5,5435.533,8708.433,8709.033,NA,NA
107,9095.199,9104.366,NA,NA,1287.567,1288,1090.367,1090.467,5435.566,5438.2,8709.533,8710.066,NA,NA
108,9124.733,9268.533,NA,NA,1289.2,1289.267,1092.7,1094.1,5438.266,5438.333,8710.133,8710.266,NA,NA
109,9281.366,9299.466,NA,NA,1337.6,1357.867,1178.267,1178.533,5438.466,5438.833,8710.333,8711.199,NA,NA
110,9325.066,9329.333,NA,NA,1370.233,1378.7,1189,1190.3,5438.9,5442.3,8711.566,8712.099,NA,NA
111,9334.533,9357.533,NA,NA,1394.6,1394.733,1324.133,1337.6,5442.366,5443.533,8712.299,8712.599,NA,NA
112,9357.633,9357.666,NA,NA,1395.5,1397.7,1357.867,1370.233,5453.066,5453.2,8712.699,8712.833,NA,NA
113,9432.766,9435.233,NA,NA,1398.333,1428.933,1378.7,1388.833,5453.266,5492.133,8712.866,8713.099,NA,NA
114,9973.266,9974.866,NA,NA,1529.3,1600.3,1392.333,1394.6,5492.966,5496,8713.366,8713.499,NA,NA
115,10051.466,10067.499,NA,NA,1602.633,1610.1,1394.733,1395.5,5496.466,5496.633,8713.733,8713.766,NA,NA
116,10127.133,10276.399,NA,NA,1628.033,1628.3,1397.7,1398.333,5500.233,5501.933,8713.833,8714.033,NA,NA
117,10276.933,10277.066,NA,NA,1628.4,1628.567,1428.933,1463.1,5511.666,5519.4,8714.133,8714.199,NA,NA
118,10277.166,10277.399,NA,NA,1628.8,1629.167,1463.4,1468.633,5519.433,5522.933,8714.233,8714.699,NA,NA
119,10308.366,10309.433,NA,NA,1629.2,1629.3,1468.667,1469.833,5522.966,5523.833,8715.666,8717.299,NA,NA
120,10346.799,10354.499,NA,NA,1632.233,1632.567,1528.6,1529.3,5631.666,5667.3,8721.266,8721.833,NA,NA
121,10354.699,10355.733,NA,NA,1633.267,1633.3,1600.3,1600.4,5719.7,5739.1,8722.166,8722.233,NA,NA
122,10413.799,10687.766,NA,NA,1633.367,1633.4,1610.1,1628.033,5792.066,5792.133,8722.766,8727.233,NA,NA
123,10687.766,10760.732,NA,NA,1633.567,1656.1,1628.3,1628.4,5800.533,5802.5,8728.166,8728.299,NA,NA
124,10831.832,10833.032,NA,NA,1656.233,1656.267,1628.567,1628.8,5802.6,5802.633,8728.366,8728.933,NA,NA
