"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
108,19065.998,19101.831,1447.033,1456.2,1897.933,1898.033,2263.433,2264.4,2012.333,2021.2,NA,NA,NA,NA
109,19157.498,19158.064,1456.266,1465.033,1924.233,1924.366,2264.966,2265.133,2135.366,2135.566,NA,NA,NA,NA
110,19158.131,19158.164,1499,1507.333,1924.733,1927.466,2265.233,2265.733,2164.166,2164.233,NA,NA,NA,NA
111,19944.464,19995.531,1507.9,1516.433,1932.633,1932.9,2265.933,2266.966,2263.2,2263.266,NA,NA,NA,NA
112,20018.931,20023.664,1560.9,1562.1,1934.533,1934.833,2288.533,2288.766,2263.333,2263.433,NA,NA,NA,NA
113,20203.464,20206.198,1563.066,1563.666,1935.2,1936.2,2288.833,2293.866,2264.4,2264.966,NA,NA,NA,NA
114,20213.764,20225.298,1564.333,1564.566,1938.7,1939.266,2495.566,2496.033,2265.133,2265.233,NA,NA,NA,NA
115,20355.598,20367.264,1564.6,1564.666,1941.033,1942.066,2496.766,2499.7,2265.733,2265.933,NA,NA,NA,NA
116,20558.431,20639.331,1564.766,1566.266,1943.333,1944.033,2499.733,2500,2266.966,2288.533,NA,NA,NA,NA
117,20660.998,20661.664,1568.5,1570,1967.866,1969.266,2500.166,2500.4,2288.766,2288.833,NA,NA,NA,NA
118,NA,NA,1570.866,1570.933,2091.833,2091.866,2503.7,2506.733,2293.866,2294.033,NA,NA,NA,NA
119,NA,NA,1573.066,1573.533,2092.033,2092.133,2617.1,2617.133,2495.5,2495.566,NA,NA,NA,NA
120,NA,NA,1575.133,1575.333,2092.166,2092.366,2627.966,2628.1,2496.033,2496.766,NA,NA,NA,NA
121,NA,NA,1576.066,1577.133,2092.666,2092.9,2628.7,2629.1,2499.7,2499.733,NA,NA,NA,NA
122,NA,NA,1580.066,1580.6,2092.966,2111.4,2629.566,2629.7,2500,2500.166,NA,NA,NA,NA
123,NA,NA,1581.133,1581.666,2112.133,2129.5,2649.4,2723.3,2500.4,2503.7,NA,NA,NA,NA
124,NA,NA,1581.866,1582,2131.6,2133.266,2723.333,2723.433,2506.733,2507.633,NA,NA,NA,NA
125,NA,NA,1583.933,1584.6,2172.166,2172.7,2723.566,2723.7,2509.9,2509.933,NA,NA,NA,NA
126,NA,NA,1584.666,1606.533,2172.733,2172.9,2724.5,2725,2627.566,2627.966,NA,NA,NA,NA
127,NA,NA,1628.266,1630.866,2173.066,2173.933,3016.366,3016.566,2628.1,2628.7,NA,NA,NA,NA
128,NA,NA,1634,1634.133,2174,2175.8,3018.9,3019.1,2629.1,2629.566,NA,NA,NA,NA
129,NA,NA,1636.066,1751,2175.933,2184.266,3021.366,3021.7,2629.7,2649.4,NA,NA,NA,NA
130,NA,NA,1896.733,1896.966,2184.3,2184.5,3022.166,3027.9,2723.3,2723.333,NA,NA,NA,NA
131,NA,NA,1897.833,1897.933,2184.533,2185.066,4747.033,4747.2,2723.433,2723.566,NA,NA,NA,NA
132,NA,NA,1898.033,1924.233,2185.133,2206.233,4747.233,4748.833,2723.7,2724.5,NA,NA,NA,NA
133,NA,NA,1924.366,1924.733,2230.066,2240.8,4748.866,4750.333,2725,3016.366,NA,NA,NA,NA
134,NA,NA,1927.466,1932.633,2300.666,2362.266,4750.433,4755.9,3016.566,3018.9,NA,NA,NA,NA
135,NA,NA,1932.9,1934.533,2362.333,2427.433,4757.1,4757.366,3019.1,3021.366,NA,NA,NA,NA
136,NA,NA,1934.833,1935.2,2434.266,2459.6,4757.566,4757.6,3021.7,3022.166,NA,NA,NA,NA
137,NA,NA,1936.2,1938.7,2462.466,2466.9,4760.533,4760.633,4750.333,4750.433,NA,NA,NA,NA
138,NA,NA,1939.266,1941.033,2466.933,2467.333,4760.8,4769.366,4755.9,4757.1,NA,NA,NA,NA
139,NA,NA,1942.066,1943.333,2522.533,2555.666,4769.433,4771.933,4757.366,4757.566,NA,NA,NA,NA
140,NA,NA,1944.033,1967.866,2556.466,2559.3,4772.333,4773.4,4757.6,4760.533,NA,NA,NA,NA
141,NA,NA,1969.266,1969.433,2560.233,2579.5,6945.032,6945.232,4760.633,4760.8,NA,NA,NA,NA
142,NA,NA,2036.933,2091.833,3041.1,3041.7,6948.299,6948.966,4769.366,4769.433,NA,NA,NA,NA
