"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Interact_Left_start","Interact_Left_stop","Interact_Right_start","Interact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
127,8335.666,8337.266,1988.768,1988.868,1419.535,1423.535,NA,NA,NA,NA,1705.568,1705.968,1325.668,1326.101,NA,NA,NA,NA
128,8337.733,8345.2,2015.535,2027.068,1423.568,1423.801,NA,NA,NA,NA,1707.101,1717.068,1326.135,1326.235,NA,NA,NA,NA
129,8370.333,8375.266,2027.801,2042.468,1425.068,1427.468,NA,NA,NA,NA,1736.901,1738.301,1326.801,1327.801,NA,NA,NA,NA
130,8417.666,8424.633,2055.668,2076.801,1452.535,1452.901,NA,NA,NA,NA,1738.335,1738.401,1327.935,1328.101,NA,NA,NA,NA
131,8465.033,8465.633,2086.435,2090.135,1463.335,1463.635,NA,NA,NA,NA,1738.568,1746.235,1329.035,1332.068,NA,NA,NA,NA
132,8467.066,8502.233,2090.668,2091.035,1464.535,1464.635,NA,NA,NA,NA,1746.435,1748.368,1387.968,1388.335,NA,NA,NA,NA
133,8652.433,8652.5,2091.201,2091.235,1464.868,1465.435,NA,NA,NA,NA,1748.768,1748.901,1395.235,1395.368,NA,NA,NA,NA
134,8652.533,8653.666,2152.401,2152.501,1466.268,1466.401,NA,NA,NA,NA,1749.235,1758.035,1395.601,1395.701,NA,NA,NA,NA
135,8654.4,8655.933,2197.701,2200.368,1466.435,1466.501,NA,NA,NA,NA,1851.101,1857.601,1402.168,1408.835,NA,NA,NA,NA
136,8712.6,8975.2,2260.868,2263.001,1466.635,1473.701,NA,NA,NA,NA,1857.701,1860.135,1409.135,1409.301,NA,NA,NA,NA
137,9010.466,9049.266,2263.935,2265.401,1630.601,1636.901,NA,NA,NA,NA,1860.235,1860.401,1410.835,1411.668,NA,NA,NA,NA
138,9050.5,9050.6,2265.868,2265.935,1646.001,1648.501,NA,NA,NA,NA,1863.435,1863.468,1411.768,1415.401,NA,NA,NA,NA
139,9100.166,9101.733,2267.801,2267.868,1651.201,1652.235,NA,NA,NA,NA,1865.835,1866.235,1415.468,1415.601,NA,NA,NA,NA
140,9141.833,9159.066,2268.201,2268.268,1652.368,1652.735,NA,NA,NA,NA,1867.335,1868.535,1416.601,1416.768,NA,NA,NA,NA
141,9172.633,9180.766,2278.735,2278.868,1652.801,1653.368,NA,NA,NA,NA,1868.635,1868.868,1418.335,1419.401,NA,NA,NA,NA
142,9188.733,9228.466,2279.268,2280.001,1653.501,1654.101,NA,NA,NA,NA,1961.501,1969.868,1419.468,1419.535,NA,NA,NA,NA
143,9228.8,9229.733,2280.535,2280.601,1654.168,1657.735,NA,NA,NA,NA,1970.335,1971.068,1423.535,1423.568,NA,NA,NA,NA
144,9454.433,9462.433,2280.935,2282.868,1657.768,1658.435,NA,NA,NA,NA,1978.435,1978.501,1423.801,1425.068,NA,NA,NA,NA
145,9508.466,9562.933,2691.335,2691.768,1668.301,1670.568,NA,NA,NA,NA,1978.568,1979.301,1427.468,1429.001,NA,NA,NA,NA
146,9617.3,9642.733,2691.801,2699.768,1670.701,1672.101,NA,NA,NA,NA,1979.901,1983.268,1440.601,1440.968,NA,NA,NA,NA
147,9836.533,9859.166,2702.801,2703.101,1672.701,1674.435,NA,NA,NA,NA,1984.601,1984.801,1441.601,1444.435,NA,NA,NA,NA
148,9860.6,9860.766,2703.301,2704.335,1779.368,1781.735,NA,NA,NA,NA,1985.568,1985.901,1452.235,1452.535,NA,NA,NA,NA
149,9957.9,9989.533,2704.401,2705.068,1781.768,1786.068,NA,NA,NA,NA,1986.468,1986.901,1452.901,1463.335,NA,NA,NA,NA
150,10006.233,10016.7,2705.101,2705.135,1792.901,1794.435,NA,NA,NA,NA,1987.201,1988.768,1463.635,1464.535,NA,NA,NA,NA
151,10041.533,10041.633,2705.668,2705.801,1794.468,1794.768,NA,NA,NA,NA,1988.868,2015.535,1464.635,1464.868,NA,NA,NA,NA
152,10041.9,10045.233,2970.235,2970.735,1809.601,1809.701,NA,NA,NA,NA,2027.068,2027.801,1465.435,1466.268,NA,NA,NA,NA
153,10093.066,10100.266,2970.768,2970.901,1809.735,1809.801,NA,NA,NA,NA,2042.468,2055.668,1466.401,1466.435,NA,NA,NA,NA
154,10136.866,10155.733,2971.135,2983.635,1811.135,1811.535,NA,NA,NA,NA,2076.801,2086.435,1466.501,1466.635,NA,NA,NA,NA
155,10247.266,10252.633,2983.868,2984.435,1811.801,1813.335,NA,NA,NA,NA,2090.135,2090.668,1473.701,1502.035,NA,NA,NA,NA
156,10258.1,10356.266,2984.468,2986.601,1813.835,1814.235,NA,NA,NA,NA,2091.035,2091.201,1626.268,1630.601,NA,NA,NA,NA
157,10359,10493.7,2987.035,2987.068,1816.668,1816.701,NA,NA,NA,NA,2091.235,2092.068,1636.901,1643.735,NA,NA,NA,NA
158,10561.766,10569.066,2987.301,2990.201,1816.835,1816.901,NA,NA,NA,NA,2151.501,2152.401,1645.601,1646.001,NA,NA,NA,NA
159,10597.433,10624.433,2990.401,2990.535,1842.201,1843.035,NA,NA,NA,NA,2152.501,2152.535,1648.501,1651.201,NA,NA,NA,NA
160,10630.899,10633.733,2991.235,2991.335,1885.568,1888.168,NA,NA,NA,NA,2200.368,2224.601,1652.235,1652.368,NA,NA,NA,NA
161,10633.866,10633.933,2991.401,2991.768,1888.201,1889.135,NA,NA,NA,NA,2258.735,2260.868,1652.735,1652.801,NA,NA,NA,NA
162,10684.999,10688.733,2992.168,2992.335,1889.601,1889.968,NA,NA,NA,NA,2263.001,2263.935,1653.368,1653.501,NA,NA,NA,NA
163,10719.433,10738.166,2992.435,2992.601,1915.701,1915.768,NA,NA,NA,NA,2265.401,2265.868,1654.101,1654.168,NA,NA,NA,NA
164,10772.166,10784.833,2992.668,2992.901,1916.235,1916.901,NA,NA,NA,NA,2265.935,2267.801,1657.735,1657.768,NA,NA,NA,NA
165,10784.966,10785.099,2993.268,2993.435,1917.235,1917.568,NA,NA,NA,NA,2267.868,2268.201,1658.435,1668.301,NA,NA,NA,NA
166,10918.766,11197.299,2993.568,2993.668,1917.701,1918.768,NA,NA,NA,NA,2268.268,2278.735,1670.568,1670.701,NA,NA,NA,NA
167,11197.333,11197.366,2993.801,2993.901,1931.568,1938.701,NA,NA,NA,NA,2278.868,2279.268,1672.101,1672.701,NA,NA,NA,NA
168,11197.399,11197.533,2994.901,2995.568,1939.168,1939.435,NA,NA,NA,NA,2280.001,2280.535,1674.435,1676.768,NA,NA,NA,NA
169,11197.599,11197.633,2996.435,2996.768,1940.968,1941.768,NA,NA,NA,NA,2280.601,2280.935,1725.035,1729.468,NA,NA,NA,NA
170,11267.533,11309.333,2999.568,2999.601,1943.301,1943.568,NA,NA,NA,NA,2282.868,2285.268,1777.401,1777.568,NA,NA,NA,NA
171,11319.666,11320.299,2999.668,2999.935,1943.801,1943.835,NA,NA,NA,NA,2287.268,2288.135,1781.735,1781.768,NA,NA,NA,NA
172,11321.433,11325.833,3001.068,3003.401,1944.301,1944.368,NA,NA,NA,NA,2291.135,2293.468,1786.068,1792.901,NA,NA,NA,NA
173,11338.799,11343.499,3003.435,3003.535,1944.501,1945.035,NA,NA,NA,NA,2688.601,2691.335,1794.435,1794.468,NA,NA,NA,NA
174,11343.766,11345.966,3004.968,3005.035,2100.535,2100.601,NA,NA,NA,NA,2691.768,2691.801,1794.768,1809.601,NA,NA,NA,NA
175,11372.266,11395.733,3005.568,3005.635,2101.035,2101.101,NA,NA,NA,NA,2699.768,2702.801,1809.701,1809.735,NA,NA,NA,NA
176,11427.133,11428.966,3005.735,3006.068,2101.235,2101.335,NA,NA,NA,NA,2703.101,2703.301,1809.801,1811.135,NA,NA,NA,NA
177,11438.999,11463.466,3294.701,3313.967,2101.368,2101.735,NA,NA,NA,NA,2704.335,2704.401,1811.535,1811.801,NA,NA,NA,NA
178,11470.866,11499.966,3314.001,3321.734,2101.801,2102.001,NA,NA,NA,NA,2705.068,2705.101,1813.335,1813.835,NA,NA,NA,NA
179,11603.399,11606.233,3322.167,3322.467,2102.268,2102.435,NA,NA,NA,NA,2705.135,2705.668,1814.235,1816.668,NA,NA,NA,NA
180,11606.333,11606.466,3338.734,3338.934,2102.868,2102.901,NA,NA,NA,NA,2909.335,2916.568,1816.701,1816.835,NA,NA,NA,NA
181,11606.699,11606.733,3339.101,3340.667,2103.368,2103.701,NA,NA,NA,NA,2919.068,2920.268,1816.901,1830.101,NA,NA,NA,NA
182,11606.766,11606.933,3341.967,3344.167,2105.135,2105.435,NA,NA,NA,NA,2960.701,2970.235,1831.968,1842.201,NA,NA,NA,NA
183,11607.066,11609.833,3344.267,3347.934,2105.868,2105.901,NA,NA,NA,NA,2970.735,2970.768,1843.035,1847.735,NA,NA,NA,NA
184,11609.999,11610.066,3363.567,3364.734,2114.235,2118.335,NA,NA,NA,NA,2970.901,2971.135,1885.001,1885.568,NA,NA,NA,NA
185,11610.199,11610.266,3365.001,3365.067,2118.535,2118.668,NA,NA,NA,NA,2983.635,2983.868,1888.168,1888.201,NA,NA,NA,NA
186,11617.933,11621.699,3586.467,3586.801,2119.235,2119.268,NA,NA,NA,NA,2984.435,2984.468,1889.135,1889.601,NA,NA,NA,NA
