"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
238,10378.165,10378.199,2699.933,2700.266,3661.999,3693.199,NA,NA,NA,NA,NA,NA
239,10378.432,10391.865,2701.433,2704.166,3693.232,3695.632,NA,NA,NA,NA,NA,NA
240,10391.899,10392.132,2707.9,2708.8,3695.732,3697.132,NA,NA,NA,NA,NA,NA
241,10393.032,10394.932,2708.933,2709.033,3746.932,3747.332,NA,NA,NA,NA,NA,NA
242,10397.932,10457.765,2710.266,2711.033,3747.499,3749.266,NA,NA,NA,NA,NA,NA
243,11443.531,11542.264,2711.066,2712.266,3749.399,3750.132,NA,NA,NA,NA,NA,NA
244,11562.964,11563.298,2712.333,2712.366,3777.466,3777.499,NA,NA,NA,NA,NA,NA
245,11852.831,11864.631,2712.533,2720.866,3777.832,3777.932,NA,NA,NA,NA,NA,NA
246,11881.298,11881.364,2721.1,2724.066,3778.566,3778.599,NA,NA,NA,NA,NA,NA
247,11881.431,11921.831,2724.166,2724.3,3778.766,3787.432,NA,NA,NA,NA,NA,NA
248,12055.531,12074.764,2730.233,2742.033,3815.932,3815.999,NA,NA,NA,NA,NA,NA
249,12242.264,12245.064,2745.666,2747,4280.332,4280.432,NA,NA,NA,NA,NA,NA
250,12402.964,12404.464,2778.266,2778.4,4280.632,4329.199,NA,NA,NA,NA,NA,NA
251,12580.598,12585.264,2778.6,2807.833,4376.832,4376.966,NA,NA,NA,NA,NA,NA
252,12585.598,12586.364,2812.333,2817.866,4379.699,4379.732,NA,NA,NA,NA,NA,NA
253,12594.164,12594.198,2819.433,2819.733,4381.899,4382.366,NA,NA,NA,NA,NA,NA
254,12595.064,12630.231,2819.8,2820.933,4390.532,4391.932,NA,NA,NA,NA,NA,NA
255,12639.131,12640.331,2821.166,2822.333,4402.799,4423.332,NA,NA,NA,NA,NA,NA
256,12781.898,12783.731,2822.533,2841.833,4474.032,4476.599,NA,NA,NA,NA,NA,NA
257,12883.231,12885.131,2841.9,2843.966,4482.466,4482.532,NA,NA,NA,NA,NA,NA
258,12968.531,12972.498,2885.666,2885.733,4483.599,4483.632,NA,NA,NA,NA,NA,NA
259,13115.431,13138.464,2888.333,2888.7,4504.199,4524.532,NA,NA,NA,NA,NA,NA
260,13156.998,13158.164,2889.133,2889.333,4524.566,4524.866,NA,NA,NA,NA,NA,NA
261,13246.231,13246.464,2889.366,2889.633,4525.932,4525.999,NA,NA,NA,NA,NA,NA
262,13248.531,13248.931,2894.366,2916.9,4533.532,4536.266,NA,NA,NA,NA,NA,NA
263,13422.531,13423.464,2917.866,2918.266,4536.632,4537.032,NA,NA,NA,NA,NA,NA
264,13424.964,13459.998,2919.333,2920.466,4538.099,4539.466,NA,NA,NA,NA,NA,NA
265,13533.964,13580.964,2922.966,2924.9,4614.466,4618.166,NA,NA,NA,NA,NA,NA
266,14052.531,14070.164,2931.266,2934.966,4618.332,4618.366,NA,NA,NA,NA,NA,NA
267,14164.031,14174.531,2940.033,2973.066,4618.699,4630.932,NA,NA,NA,NA,NA,NA
268,14211.098,14218.131,2984.8,2987.366,4631.232,4631.266,NA,NA,NA,NA,NA,NA
269,14231.298,14276.364,3007,3007.033,4632.166,4643.899,NA,NA,NA,NA,NA,NA
270,14302.398,14302.864,3007.1,3007.4,4646.399,4646.466,NA,NA,NA,NA,NA,NA
271,14313.598,14314.898,3026.666,3026.766,4646.566,4649.199,NA,NA,NA,NA,NA,NA
272,14315.331,14315.498,3032.333,3034.3,4690.066,4690.099,NA,NA,NA,NA,NA,NA
273,14315.531,14315.564,3035.733,3036.7,4690.132,4715.966,NA,NA,NA,NA,NA,NA
274,14315.931,14316.331,3039.233,3039.433,5018.366,5018.532,NA,NA,NA,NA,NA,NA
275,14319.764,14325.031,3039.533,3066.133,5018.599,5033.666,NA,NA,NA,NA,NA,NA
276,14327.498,14352.964,3070,3071.933,5039.132,5039.832,NA,NA,NA,NA,NA,NA
277,14401.298,14403.431,3072.133,3072.266,5062.199,5062.699,NA,NA,NA,NA,NA,NA
278,14684.764,14743.664,3072.333,3072.4,5062.899,5063.232,NA,NA,NA,NA,NA,NA
279,14744.598,14744.964,3072.933,3073.2,5063.332,5063.366,NA,NA,NA,NA,NA,NA
280,14745.164,14747.631,3073.466,3073.8,5063.632,5081.732,NA,NA,NA,NA,NA,NA
281,14982.031,15002.964,3074.066,3110.066,5198.632,5199.132,NA,NA,NA,NA,NA,NA
282,15043.164,15087.131,3110.933,3117.366,5202.399,5202.632,NA,NA,NA,NA,NA,NA
283,15121.498,15132.464,3138.566,3183.233,5202.866,5920.532,NA,NA,NA,NA,NA,NA
284,15285.198,15295.631,3188.833,3194.6,5972.166,5972.499,NA,NA,NA,NA,NA,NA
285,15634.464,15709.098,3210.333,3217.633,5993.566,5993.766,NA,NA,NA,NA,NA,NA
286,15719.431,15744.564,3217.833,3218.4,5994.032,6008.299,NA,NA,NA,NA,NA,NA
287,15791.798,15877.831,3218.5,3219.066,6008.766,6009.432,NA,NA,NA,NA,NA,NA
288,17314.931,17323.931,3219.433,3221.466,6088.566,6118.232,NA,NA,NA,NA,NA,NA
289,20963.431,21040.864,3221.566,3222,6163.066,6307.999,NA,NA,NA,NA,NA,NA
290,21064.631,21076.898,3225.333,3229.5,6606.766,6606.899,NA,NA,NA,NA,NA,NA
291,21136.564,21147.431,3241.333,3242.3,6607.132,6814.899,NA,NA,NA,NA,NA,NA
292,21307.198,21320.998,3242.566,3244,6828.466,7194.399,NA,NA,NA,NA,NA,NA
293,21346.998,21348.231,3280.233,3280.6,7194.399,7419.832,NA,NA,NA,NA,NA,NA
294,21375.198,21378.264,3280.866,3282.1,7493.832,8512.865,NA,NA,NA,NA,NA,NA
295,21399.231,21402.164,3293.6,3293.633,8532.265,8556.065,NA,NA,NA,NA,NA,NA
296,21411.631,21416.531,3313.633,3313.933,8682.632,8682.699,NA,NA,NA,NA,NA,NA
297,21421.931,21429.964,3314.1,3315.3,8683.032,8683.065,NA,NA,NA,NA,NA,NA
298,NA,NA,3316.066,3316.2,8683.132,8683.365,NA,NA,NA,NA,NA,NA
299,NA,NA,3317.266,3317.3,8683.665,8685.299,NA,NA,NA,NA,NA,NA
300,NA,NA,3322,3326.466,8695.999,8696.199,NA,NA,NA,NA,NA,NA
301,NA,NA,3327.6,3327.733,8696.465,8696.665,NA,NA,NA,NA,NA,NA
302,NA,NA,3327.766,3328.166,8696.799,8700.499,NA,NA,NA,NA,NA,NA
303,NA,NA,3334,3352.933,8700.599,8701.065,NA,NA,NA,NA,NA,NA
304,NA,NA,3353.233,3353.433,8701.132,8719.699,NA,NA,NA,NA,NA,NA
305,NA,NA,3355.566,3356.633,8719.732,8726.899,NA,NA,NA,NA,NA,NA
306,NA,NA,3357.066,3359.566,8727.099,8727.232,NA,NA,NA,NA,NA,NA
307,NA,NA,3366.466,3367,8727.565,8727.965,NA,NA,NA,NA,NA,NA
308,NA,NA,3368.733,3371.066,8758.132,8760.232,NA,NA,NA,NA,NA,NA
309,NA,NA,3371.3,3379.166,8760.732,8762.232,NA,NA,NA,NA,NA,NA
310,NA,NA,3411,3417.466,8762.365,8765.632,NA,NA,NA,NA,NA,NA
311,NA,NA,3418.3,3420.166,8765.865,8765.932,NA,NA,NA,NA,NA,NA
312,NA,NA,3453.733,3456.7,8766.465,8767.399,NA,NA,NA,NA,NA,NA
313,NA,NA,3528.366,3532.7,8767.432,8772.632,NA,NA,NA,NA,NA,NA
314,NA,NA,3532.766,3532.966,8773.299,8774.332,NA,NA,NA,NA,NA,NA
315,NA,NA,3533.8,3536.8,8775.665,8804.399,NA,NA,NA,NA,NA,NA
