"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Right_start","Contact_Right_stop"
149,5376.5,5384.666,3449.934,3450.234,1917.267,1918.6,2942.9,2942.934,2000.334,2001.467
150,5384.833,5475.066,3450.567,3450.934,1918.9,1920.8,2943.4,2943.5,2001.634,2001.734
151,5499.5,5501.1,3451.5,3452.2,1920.9,1922.634,2945.334,2946.034,2001.967,2010.267
152,5564,5583.266,3458.534,3458.667,1922.9,1923.034,3056.034,3228.7,2010.367,2010.734
153,5624.3,5633.8,3458.767,3459.8,1923.3,1923.7,3234.3,3234.334,2011.034,2011.4
154,5634.1,5634.2,3459.834,3460.734,1923.767,1923.834,3235.8,3235.834,2011.9,2016.2
155,5765.133,5766.066,3460.834,3460.9,1924.167,1924.234,3236.734,3237.167,2019.7,2019.867
156,5832.966,5836.666,3461.067,3461.734,1931.2,1934.1,3237.2,3238.5,2019.967,2020.734
157,5873.2,5918,3473.4,3473.467,1934.234,1941.9,3255.234,3255.834,2021.267,2021.667
158,5918.166,5936.766,3473.6,3473.634,1942.067,1942.3,3256.1,3281.6,2022.2,2022.234
159,5940.666,5942.166,3474.9,3475.2,1942.667,1950.167,3281.667,3285.267,2022.367,2022.567
160,5945.533,5946.733,3475.334,3475.634,1950.434,1950.8,3285.667,3321.034,2022.834,2022.867
161,5946.8,5955.333,3483.367,3483.434,1951.034,1952.934,3321.067,3321.667,2026.634,2027.1
162,5974.133,5974.8,3487.367,3487.5,1953.334,1956.034,3321.834,3322,2027.767,2028.3
163,6049.2,6052.733,3489.034,3489.234,1956.367,1960.534,3322.467,3325.567,2029.167,2029.3
164,6054.966,6069.7,3489.367,3489.6,1990.067,1990.267,3386.3,3386.534,2032.734,2033.4
165,6074.9,6075.366,3508.767,3510.7,1991.134,1991.434,3386.6,3389.067,2033.6,2033.7
166,6115.366,6116.366,3522.134,3522.267,1992.134,1992.2,3389.167,3389.367,2078.967,2079.667
167,6147.2,6236.3,3524.467,3524.9,2000.134,2000.334,3389.834,3390.367,2082.467,2082.5
168,6337.733,6338.433,3525.367,3525.6,2001.467,2001.634,3390.467,3398.434,2082.934,2083.067
169,6482.4,6532.633,3622.3,3622.333,2001.734,2001.967,3398.934,3399.8,2083.134,2084.167
170,6556.1,6556.2,3622.366,3622.4,2010.267,2010.367,3450.234,3450.567,2084.6,2085.134
171,7074.333,7076.966,3622.466,3622.5,2010.734,2011.034,3450.934,3451.5,2086.6,2087.267
172,7106,7194.133,3622.9,3625.166,2011.4,2011.9,3452.2,3452.334,2111.334,2111.434
173,7194.133,7264.466,3627.5,3627.6,2016.2,2019.7,3452.434,3458.534,2204.8,2204.834
174,7379.399,7380.133,3628.133,3628.466,2019.867,2019.967,3458.667,3458.767,2204.9,2204.967
175,7545.866,7546.599,3629.566,3629.6,2020.734,2021.267,3459.8,3459.834,2229.534,2229.6
176,7547.499,7553.499,3629.633,3629.866,2021.667,2022.2,3460.734,3460.834,2231.767,2231.8
177,7565.333,7653.033,3630.466,3634.833,2022.234,2022.367,3460.9,3461.067,2232.334,2232.667
178,7717.399,7717.833,3635.066,3635.233,2022.567,2022.834,3461.734,3473.4,2233.5,2233.767
179,7728.099,7728.733,3635.566,3635.833,2022.867,2026.634,3473.467,3473.6,2234.167,2236.834
180,7751.699,7752.899,3635.966,3636,2027.1,2027.767,3473.634,3474.9,2238.134,2238.267
181,7753.033,7760.433,3636.133,3637.066,2028.3,2029.167,3475.2,3475.334,2238.334,2238.5
182,7760.633,7847.199,3644,3644.166,2029.3,2032.734,3475.634,3475.9,2238.667,2238.734
183,7851.233,7866.699,3656.6,3657.033,2033.4,2033.6,3475.934,3476.467,2240.5,2240.6
184,7872.966,7873.666,3678.733,3679.2,2033.7,2034.234,3476.6,3476.867,2242.867,2243.267
185,7961.066,7963.466,3679.266,3681.2,2075.9,2078.967,3482.834,3483.367,2243.667,2243.934
186,8067.066,8088.999,3682.933,3683.433,2079.667,2082.467,3483.434,3484.3,2251.7,2251.767
187,8353.633,8354.199,3683.633,3684.233,2082.5,2082.934,3486.567,3487.367,2256.967,2257.067
188,8361.433,8363.599,3684.366,3692.766,2083.067,2083.134,3487.5,3487.967,2303.934,2305.7
189,8371.033,8375.866,3692.933,3694.666,2084.167,2084.6,3488.634,3489.034,2306.7,2306.8
190,8376.033,8376.066,3694.7,3694.866,2085.134,2086.6,3489.234,3489.367,2589.7,2589.734
191,8378.499,8378.666,3694.9,3695.433,2087.267,2103.467,3489.6,3489.967,2590.3,2590.4
192,8378.733,8378.766,3695.5,3698.566,2106.6,2111.334,3507.534,3508.767,2590.434,2590.467
193,8385.766,8386.033,3698.766,3699.033,2111.434,2112.734,3510.7,3511.8,2590.667,2590.8
194,8386.433,8392.899,3699.133,3700.7,2204.367,2204.8,3522.267,3524.467,2593.734,2594.167
195,8507.499,8528.533,3700.733,3702.3,2204.834,2204.9,3524.9,3525.367,2594.4,2594.434
196,8529.299,8529.433,3702.966,3703.166,2204.967,2205.767,3525.6,3525.867,2594.9,2595.934
197,8912.899,8917.499,3703.366,3706.433,2205.867,2229.534,3525.934,3525.967,2597.367,2597.867
198,8921.566,8922.233,3845.733,3845.833,2229.6,2231.767,3526.134,3526.234,2598.167,2599.834
199,9015.766,9018.433,3845.9,3850.6,2231.8,2232.334,3622.266,3622.3,2600.067,2600.734
200,9018.833,9018.866,3851.366,3851.633,2232.667,2233.5,3622.333,3622.366,2600.9,2600.934
201,9088.033,9088.533,3852.1,3853.1,2233.767,2234.167,3622.4,3622.466,2601.1,2601.167
202,9193.066,9198.366,3853.2,3853.466,2236.834,2238.134,3622.5,3622.9,2842.367,2847.9
203,9202.433,9205.466,3853.933,3858.933,2238.267,2238.334,3625.166,3627.5,2847.967,2848.234
204,9207.333,9210.666,3860.533,3860.6,2238.5,2238.667,3627.6,3628.133,2848.3,2849.3
