"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
85,13619.999,13677.566,2429.1,2429.5,3627.867,3641.567,812.7,819.967,834.467,835.367,NA,NA,NA,NA
86,13867.532,13873.599,2429.867,2688.867,3644.467,3649.6,820,820.2,835.4,835.7,NA,NA,NA,NA
87,14030.999,14031.599,2688.9,2688.934,3649.767,3650.167,820.5,821.834,835.9,836.867,NA,NA,NA,NA
88,14036.666,14037.132,3050,3077.467,3650.767,3650.834,823.767,824.567,837.067,837.234,NA,NA,NA,NA
89,14039.999,14040.132,3451.567,3452.267,3658.834,3685.334,834.3,834.467,837.3,837.534,NA,NA,NA,NA
90,14040.632,14043.032,3542.167,3542.334,3831.667,3833.934,835.367,835.4,837.7,838.434,NA,NA,NA,NA
91,14053.266,14057.299,3552.167,3569.334,3915.2,3916.267,835.7,835.9,838.5,839.767,NA,NA,NA,NA
92,14099.132,14104.066,3594.034,3595.934,3920.234,3920.3,836.867,837.067,839.867,840.167,NA,NA,NA,NA
93,14197.599,14208.099,3597.934,3620.767,4072.634,4072.667,837.234,837.3,840.467,841.1,NA,NA,NA,NA
94,14212.566,14218.132,3621.534,3621.8,4073.3,4073.434,837.534,837.7,841.267,841.334,NA,NA,NA,NA
95,14295.199,14365.432,3623.4,3624.667,4073.534,4083.9,838.434,838.5,841.667,843.3,NA,NA,NA,NA
96,14433.465,14433.832,3625.067,3625.467,4086.4,4089.867,839.767,839.867,848.267,848.734,NA,NA,NA,NA
97,14526.532,14526.932,3625.5,3625.767,4286.634,4294.134,840.167,840.467,849.567,851.967,NA,NA,NA,NA
98,14571.065,14573.365,3626.667,3627.867,4304.067,4304.134,841.1,841.267,852.034,852.367,NA,NA,NA,NA
99,14673.999,14675.765,3641.567,3644.467,4304.267,4304.534,841.334,841.667,1022.1,1033.467,NA,NA,NA,NA
100,14677.432,14677.565,3649.6,3649.767,4306.4,4307.267,843.3,848.267,1033.967,1034,NA,NA,NA,NA
101,14677.632,14677.699,3650.167,3650.767,4308.134,4308.467,848.734,849.567,1034.1,1034.267,NA,NA,NA,NA
102,14678.299,14678.965,3650.834,3658.834,4346.367,4353.234,851.967,852.034,1034.8,1034.934,NA,NA,NA,NA
103,14679.232,14735.799,3685.334,3694.7,4353.834,4353.967,852.367,854.567,1038.034,1038.5,NA,NA,NA,NA
104,14823.732,14824.832,3830.9,3831.667,4354.034,4354.834,1033.467,1033.967,1038.7,1039.567,NA,NA,NA,NA
105,14825.832,14826.365,3833.934,3915.2,4356.367,4356.634,1034,1034.1,1042.9,1043.134,NA,NA,NA,NA
106,14834.199,14836.199,3916.267,3920.234,4356.7,4356.767,1034.267,1034.8,1044.1,1044.167,NA,NA,NA,NA
107,15202.865,15203.099,3920.3,3921.5,4365.2,4365.767,1034.934,1038.034,1045.134,1045.4,NA,NA,NA,NA
108,15203.399,15220.899,4071.467,4072.634,4393.034,4408.467,1038.5,1038.7,1045.634,1046.534,NA,NA,NA,NA
