"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
126,901.9,902.167,776.334,776.467,8646.166,8650.566,1264.934,1265.334,1653.367,1653.534,NA,NA,NA,NA
127,902.434,902.5,778.9,787.867,8682.566,8684.2,1265.467,1265.567,1653.634,1653.7,NA,NA,NA,NA
128,902.6,903.767,794.334,797.134,8726.9,8732.566,1266.867,1266.967,1654.967,1655.2,NA,NA,NA,NA
129,904.3,904.467,802.834,805.434,8788.9,8792.766,1267.467,1267.6,1656.7,1658.034,NA,NA,NA,NA
130,936.134,936.267,819.334,825.334,8808.3,8808.566,1273.134,1273.634,1658.534,1659.9,NA,NA,NA,NA
131,936.867,938.2,825.434,825.567,8808.633,8819.333,1273.8,1278.234,1660.067,1661.067,NA,NA,NA,NA
132,974.934,975.267,825.634,825.767,8889.5,8894.733,1331.667,1332.067,1891.467,1891.567,NA,NA,NA,NA
133,975.3,975.334,827.934,827.967,8932.733,8933.333,1332.2,1332.267,1891.7,1894.134,NA,NA,NA,NA
134,976.134,976.534,828.1,828.167,8971.866,8976.633,1332.734,1332.8,1894.167,1896.6,NA,NA,NA,NA
135,976.6,976.7,828.367,833.067,8995.5,8997.2,1332.867,1333.4,1905.2,1907.334,NA,NA,NA,NA
136,976.834,976.867,895.7,897.9,9009.866,9015.533,1333.467,1336.534,1960.867,1960.934,NA,NA,NA,NA
137,977.167,978.3,898,901.1,9097.3,9115.966,1409.834,1410.867,1961,1961.934,NA,NA,NA,NA
138,978.734,979.4,901.5,901.9,9121.966,9122.8,1410.9,1411.034,1962,1962.067,NA,NA,NA,NA
139,985.434,985.634,902.167,902.434,9235.5,9237.3,1411.1,1411.9,1962.1,1962.234,NA,NA,NA,NA
140,986.1,986.4,902.5,902.6,9246.533,9254.566,1561.1,1566.8,1962.267,1967.1,NA,NA,NA,NA
141,986.6,988.9,903.767,904.3,9299.566,9300.233,1631.134,1640.267,1967.434,1969.2,NA,NA,NA,NA
142,1112.567,1112.634,904.467,931.967,9306.866,9310.8,1641.167,1641.8,1978.834,1979.467,NA,NA,NA,NA
143,1112.8,1112.834,935.1,936.134,9360.633,9361.266,1643.3,1644.4,1979.6,1979.967,NA,NA,NA,NA
144,1113.767,1113.867,936.267,936.867,9544.4,9545.8,1646.2,1646.467,2074.767,2074.834,NA,NA,NA,NA
145,1113.9,1115.667,938.2,950.167,9621.633,9622.766,1646.567,1649,2074.9,2074.934,NA,NA,NA,NA
146,1115.7,1130.6,974.034,974.934,9640.366,9670.1,1649.367,1650.667,2145.3,2145.567,NA,NA,NA,NA
147,1130.867,1130.934,975.267,975.3,9727.5,9730.566,1650.767,1651.7,2145.9,2146.4,NA,NA,NA,NA
148,1131.134,1131.6,975.334,976.134,9730.966,9732.966,1651.8,1653.367,2146.5,2146.8,NA,NA,NA,NA
149,1131.7,1131.734,976.534,976.6,9761.6,9771.533,1653.534,1653.634,2197.5,2197.6,NA,NA,NA,NA
150,1131.767,1132.7,976.7,976.834,9802.8,9803.466,1653.7,1654.967,2197.634,2197.667,NA,NA,NA,NA
