"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Center_start","Contact_Center_stop"
135,2810.116,2810.316,3416.683,3416.716,6751.782,6754.682,NA,NA,1811.883,1812.683,2367.849,2367.883,NA,NA
136,2810.383,2810.783,3417.049,3417.216,6779.816,6783.182,NA,NA,1812.949,1813.083,2368.149,2368.849,NA,NA
137,2811.183,2812.183,3417.649,3419.516,6783.216,6783.582,NA,NA,1825.649,1827.249,2369.149,2369.216,NA,NA
138,2813.116,2825.916,3420.049,3421.783,6783.682,6783.782,NA,NA,1828.216,1828.383,2374.283,2374.616,NA,NA
139,2837.716,2837.816,3422.316,3426.916,6804.016,6805.716,NA,NA,1828.416,1829.716,2383.549,2393.116,NA,NA
140,2843.083,2845.083,3426.983,3427.383,6884.682,6887.282,NA,NA,1832.083,1832.216,2396.083,2396.616,NA,NA
141,2887.149,2887.316,3460.716,3464.483,6946.016,6946.149,NA,NA,1834.283,1834.349,2397.149,2397.616,NA,NA
142,2887.783,2888.116,3465.183,3492.616,6946.716,6947.782,NA,NA,1834.416,1834.949,2417.716,2417.783,NA,NA
143,2893.116,2893.583,3492.683,3510.583,6948.316,6948.916,NA,NA,1835.916,1836.016,2418.283,2418.483,NA,NA
144,2895.049,2895.849,3510.683,3513.783,6949.516,6949.916,NA,NA,1840.183,1843.116,2418.916,2419.049,NA,NA
145,2895.883,2896.016,3580.882,3580.916,6953.149,6953.216,NA,NA,1958.549,2001.983,2423.849,2424.649,NA,NA
146,2920.116,2943.183,3580.982,3586.149,6953.349,6954.016,NA,NA,2002.116,2006.449,2425.016,2425.683,NA,NA
147,2977.149,2977.516,3586.382,3596.549,6954.582,6957.149,NA,NA,2010.049,2061.616,2434.316,2434.783,NA,NA
148,2991.583,3003.216,3597.216,3597.249,6957.249,6957.382,NA,NA,2210.883,2210.916,2489.883,2490.649,NA,NA
149,3004.383,3004.416,3600.282,3602.282,6957.749,6957.782,NA,NA,2215.849,2215.883,2949.749,2956.849,NA,NA
150,3008.549,3009.816,3602.982,3605.249,6957.916,6958.016,NA,NA,2216.383,2223.883,2957.549,2963.049,NA,NA
151,3016.083,3016.283,3606.216,3606.549,6961.049,6961.116,NA,NA,2237.316,2237.549,2963.116,2963.183,NA,NA
152,3016.683,3016.783,3607.649,3621.482,6963.316,6972.249,NA,NA,2237.749,2246.549,2973.516,2975.216,NA,NA
153,3019.883,3019.983,3631.849,3640.416,6972.516,6972.582,NA,NA,2294.849,2294.983,2975.816,2976.583,NA,NA
154,3020.049,3020.083,3756.716,3774.682,6972.649,6972.716,NA,NA,2295.083,2295.216,3200.983,3201.449,NA,NA
155,3025.449,3033.849,3831.316,3832.649,6973.982,6975.982,NA,NA,2295.283,2295.649,3201.483,3201.516,NA,NA
156,3037.749,3112.816,3836.616,3837.016,6980.549,6980.849,NA,NA,2296.383,2296.549,3214.316,3214.549,NA,NA
157,3184.183,3199.049,3837.082,3837.316,6984.282,6985.216,NA,NA,2296.616,2296.649,3263.616,3264.583,NA,NA
158,3215.216,3215.816,3837.349,3837.416,6988.016,6989.116,NA,NA,2299.449,2300.483,3266.049,3266.683,NA,NA
159,3216.716,3216.883,3837.449,3838.049,6989.182,6989.249,NA,NA,2308.483,2308.716,3268.183,3270.383,NA,NA
