"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
115,3823.665,3824.865,2460.1,2467.299,9769.531,9812.065,1738.4,1741.133,1907.5,1907.533,NA,NA
116,3834.799,3890.599,2472.333,2488.299,9813.698,9814.465,1747.633,1747.7,1907.7,1909.266,NA,NA
117,3943.899,3970.399,2488.799,2488.866,9814.865,9815.898,1748.4,1756.8,1909.4,1911.933,NA,NA
118,9649.998,9650.731,2488.999,2489.033,9833.531,9833.565,1757.1,1757.833,1912.133,1912.2,NA,NA
119,9667.065,9708.931,2489.699,2489.733,9833.631,9833.765,1759.966,1760.1,1912.4,1918,NA,NA
120,9708.965,9709.098,2502.933,2506.266,9833.931,9834.331,1843.6,1845.766,1923.266,1923.533,NA,NA
121,9709.165,9709.231,2506.299,2506.399,9844.798,9848.098,1847,1848.266,1923.866,1924.766,NA,NA
122,9710.065,9710.131,2506.999,2507.133,9848.165,9848.231,1849.2,1850.333,1925.666,1926.866,NA,NA
123,9710.331,9710.398,2507.466,2507.533,9872.965,9874.531,1850.366,1850.433,1928.1,1928.266,NA,NA
124,9710.431,9710.831,2511.033,2511.299,9875.231,9875.265,1854.333,1854.366,1978.633,2007.533,NA,NA
125,9710.998,9711.298,2511.366,2512.166,9875.365,9878.965,1855.333,1857.133,2007.866,2008.866,NA,NA
126,9711.365,9711.431,2599.266,2599.733,9879.698,9895.265,1857.866,1858.266,2009.566,2010.9,NA,NA
127,9711.465,9711.731,2600.133,2600.866,9896.231,9896.831,1858.533,1858.733,2011.366,2011.633,NA,NA
128,9711.798,9711.831,2610.799,2612.266,9897.031,9897.498,1906.966,1907.066,2035.133,2036.466,NA,NA
129,9711.898,9712.265,2701.733,2702.366,9917.365,9917.498,1907.1,1907.5,2037.166,2037.5,NA,NA
130,9712.531,9712.631,2715.766,2723.099,9917.531,9920.031,1907.533,1907.7,2041.166,2041.533,NA,NA
131,9712.665,9712.898,2886.699,2889.899,9923.165,9933.365,1909.266,1909.4,2041.633,2042.266,NA,NA
132,9718.265,9719.031,2895.899,2901.633,9933.631,9948.698,1911.933,1912.133,2044,2049.166,NA,NA
133,9719.065,9719.265,2901.699,2901.766,9948.798,9952.165,1912.2,1912.4,2049.566,2049.6,NA,NA
134,9719.565,9719.898,2902.099,2905.366,9952.265,9952.465,1918,1923.266,2051.033,2058.4,NA,NA
135,9819.731,9833.165,3037.366,3037.799,9952.965,9953.265,1923.533,1923.866,2058.5,2058.533,NA,NA
136,9900.231,9901.065,3038.099,3104.366,9953.631,9953.698,1924.766,1925.666,2058.933,2058.966,NA,NA
137,9916.465,9916.865,3327.399,3327.999,9953.731,9960.598,1926.866,1928.1,2059.066,2059.1,NA,NA
138,10082.931,10083.631,3355.366,3355.933,9973.598,9975.298,1928.266,1975.366,2059.3,2059.4,NA,NA
139,10086.431,10086.831,3476.166,3476.499,9975.431,9975.465,1977.3,1978.633,2059.833,2063.1,NA,NA
140,10193.931,10199.531,3476.566,3476.633,9975.498,9975.531,2007.533,2007.866,2063.133,2063.166,NA,NA
141,10205.998,10214.331,3476.833,3479.699,9975.565,9975.598,2008.866,2009.566,2068.433,2071.2,NA,NA
