"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop"
103,3845.498,3849.065,2338.465,2338.898,2577.398,2578.331,2042.131,2043.031,2351.165,2351.265
104,3874.165,3878.831,2453.398,2453.465,2578.431,2578.598,2042.731,2043.731,2351.465,2351.698
105,3879.698,3882.231,2453.931,2454.031,2580.431,2580.498,2043.498,2044.565,2353.198,2358.198
106,3891.765,3892.365,2455.865,2465.965,2588.065,2588.398,2044.498,2106.598,2358.565,2366.531
107,3910.398,3915.598,2468.365,2468.465,2694.365,2695.431,2104.665,2119.065,2421.131,2422.431
108,3922.531,3928.098,2468.531,2468.698,2702.831,2703.031,2118.965,2121.465,2422.631,2422.898
109,3970.165,3977.865,2468.731,2478.498,2703.331,2703.731,2120.931,2122.065,2423.065,2423.665
110,4307.098,4354.265,2478.631,2479.398,2704.698,2704.898,2121.498,2122.365,2423.765,2423.865
111,4354.298,4354.431,2503.698,2503.965,2704.998,2705.031,2122.331,2123.698,2424.065,2424.131
112,4354.465,4360.098,2504.165,2504.598,2705.098,2705.365,2122.698,2142.798,2435.931,2436.098
113,4548.465,4551.398,2504.631,2507.665,2705.631,2705.965,2138.731,2144.898,2437.065,2437.598
114,4596.965,4598.798,2507.998,2509.198,2706.298,2706.598,2144.865,2145.965,2437.665,2437.698
115,4599.065,4599.098,2509.865,2509.931,2706.931,2707.898,2145.798,2331.165,2437.765,2441.098
116,4615.965,4617.065,2509.998,2510.231,2710.265,2712.231,2330.265,2338.465,2451.098,2451.431
117,4622.131,4651.031,2513.031,2513.098,2723.765,2726.065,2338.398,2341.365,2490.065,2491.931
118,4687.398,4688.298,2523.031,2523.065,2737.298,2737.698,2338.898,2453.398,2491.965,2491.998
119,4732.131,4746.731,2524.665,2524.831,2737.931,2746.965,2453.098,2453.931,2492.131,2492.331
120,4771.298,4778.065,2529.198,2529.465,2748.298,2748.631,2453.465,2455.865,2492.465,2492.598
121,4858.931,4860.631,2529.598,2529.698,2933.131,2934.831,2454.031,2468.365,2495.165,2495.331
122,4883.265,4896.231,2530.198,2530.665,2989.898,2990.398,2465.965,2468.531,2495.398,2495.498
123,4909.765,4917.798,2530.698,2530.731,2990.498,2990.598,2468.465,2468.731,2495.598,2495.631
124,4921.765,4922.965,2530.831,2530.965,2990.665,2990.698,2468.698,2478.631,2497.665,2498.465
125,4923.031,4923.165,2531.331,2533.665,2990.865,2991.065,2478.498,2479.731,2546.098,2548.731
126,4923.198,4923.265,2542.365,2542.698,2991.131,2999.898,2479.398,2503.698,2550.098,2550.198
127,4941.265,4943.331,2599.365,2599.398,3105.865,3111.165,2501.665,2504.165,2551.465,2556.165
128,4957.931,4962.731,2599.498,2600.331,3246.698,3246.731,2503.965,2504.631,2564.698,2567.131
129,5054.565,5055.898,2600.598,2600.765,3246.765,3246.798,2504.598,2507.998,2575.265,2577.398
130,5056.031,5056.065,2602.331,2602.865,3247.498,3264.298,2507.665,2509.865,2578.331,2578.431
131,5064.831,5067.031,2603.231,2604.165,3264.631,3264.665,2509.198,2509.998,2578.598,2580.431
132,5075.298,5086.231,2615.965,2618.531,3359.865,3359.898,2509.931,2513.031,2580.498,2588.065
133,5091.731,5092.898,2627.465,2627.731,3359.931,3360.131,2510.231,2523.031,2588.398,2595.165
134,5121.765,5142.065,2627.765,2632.065,3360.798,3360.931,2513.098,2524.665,2693.698,2694.365
135,5142.131,5142.365,2632.131,2654.531,3360.998,3361.431,2523.065,2529.198,2695.431,2702.831
136,5145.498,5147.298,2654.798,2658.498,3361.765,3361.965,2524.831,2529.598,2703.031,2703.331
137,5971.865,6008.998,2658.598,2658.798,3362.031,3368.798,2529.465,2530.198,2703.731,2704.698
138,6009.265,6009.365,2658.998,2659.231,3429.198,3429.231,2529.698,2530.698,2704.898,2704.998
139,6009.598,6009.731,2659.331,2660.831,3429.398,3433.365,2530.665,2530.831,2705.031,2705.098
140,6093.965,6114.898,2661.865,2661.931,3517.531,3517.731,2530.731,2531.331,2705.365,2705.631
141,6155.731,6157.498,2662.598,2666.831,3517.798,3518.931,2530.965,2535.631,2705.965,2706.298
142,6186.031,6189.331,2666.898,2667.198,3672.131,3679.598,2533.665,2542.365,2706.598,2706.931
143,6221.165,6228.598,2673.331,2673.398,3683.298,3683.998,2538.365,2544.898,2707.898,2710.265
144,6267.831,6284.031,2674.498,2674.565,3684.631,3684.731,2542.698,2599.365,2712.231,2713.665
145,6432.765,6433.598,2674.931,2675.031,3701.698,3707.365,2599.265,2599.498,2720.731,2723.765
146,6493.065,6495.865,2675.131,2675.365,3713.431,3738.365,2599.398,2600.598,2726.065,2737.298
147,6571.931,6575.831,2675.431,2675.598,3768.031,3778.331,2600.331,2602.331,2737.698,2737.931
148,6579.765,6581.098,2676.765,2676.798,3778.365,3778.698,2600.765,2603.231,2746.965,2748.298
149,6582.831,6587.565,2676.865,2676.965,3810.798,3810.931,2602.865,2613.098,2748.631,2748.965
150,6612.831,6626.465,2683.165,2683.231,3810.965,3811.798,2604.165,2615.965,2932.498,2933.131
151,6685.265,6686.498,2683.998,2685.165,3811.931,3811.998,2615.131,2622.765,2934.831,2935.431
152,6750.931,6786.298,2685.465,2685.798,3812.065,3816.698,2618.531,2627.465,2989.431,2989.898
153,6829.131,6836.031,2685.998,2686.098,3823.965,3824.098,2626.631,2627.765,2990.398,2990.498
154,6993.298,6995.498,2687.198,2689.098,3824.131,3824.298,2627.731,2632.131,2990.598,2990.665
155,7023.198,7033.031,2689.498,2691.798,3825.298,3825.531,2632.065,2654.798,2990.698,2990.865
156,7069.631,7075.031,2754.265,2754.765,3839.731,3842.665,2654.531,2658.598,2991.065,2991.131
157,7099.331,7100.131,2756.031,2756.365,3902.631,3903.298,2658.498,2658.998,2999.898,3000.265
158,7159.131,7162.898,2813.598,2813.731,3903.531,3903.765,2658.798,2659.331,3105.531,3105.865
159,7178.298,7178.965,2816.365,2816.431,3903.831,3904.398,2659.231,2661.865,3111.165,3114.198
160,7200.165,7209.965,2817.698,2817.831,3904.498,3904.798,2660.831,2662.598,3246.331,3246.698
161,9297.398,9309.398,2819.231,2821.131,3904.865,3904.931,2661.931,2666.898,3246.731,3246.765
162,9365.665,9367.198,2821.331,2821.431,3905.731,3906.298,2666.831,2669.665,3246.798,3247.498
163,9484.465,9485.331,2822.265,2824.031,3978.731,3986.498,2667.198,2673.331,3264.298,3264.631
164,9526.298,9528.998,2825.731,2826.131,4012.531,4028.931,2672.331,2674.498,3264.665,3268.498
165,9579.798,9581.865,2827.665,2828.131,4121.531,4121.698,2673.398,2674.931,3359.531,3359.865
166,9614.298,9623.098,2828.331,2828.765,4151.031,4167.731,2674.565,2675.131,3359.898,3359.931
167,9676.298,9679.798,2829.398,2829.831,4169.065,4172.898,2675.031,2675.431,3360.131,3360.798
168,9860.931,9861.865,2831.831,2833.465,4179.498,4179.798,2675.365,2676.765,3360.931,3360.998
169,9883.731,9917.731,2833.598,2833.731,4180.531,4180.598,2675.598,2676.865,3361.431,3361.765
170,9933.965,9939.931,2834.265,2839.898,4190.765,4190.865,2676.798,2678.965,3361.965,3362.031
171,9963.431,9963.965,2840.998,2841.798,4190.931,4190.998,2676.965,2683.165,3368.798,3377.598
172,9985.298,10053.031,2841.931,2843.765,4191.165,4191.498,2682.931,2683.998,3428.898,3429.198
173,10078.098,10079.631,2844.498,2844.565,4197.798,4296.831,2683.231,2685.465,3429.231,3429.398
174,10083.265,10110.065,2844.598,2851.765,4551.665,4571.065,2685.165,2685.998,3433.365,3444.798
175,10148.698,10149.565,2851.831,2851.865,4571.165,4574.598,2685.798,2687.198,3513.198,3517.531
176,10172.765,10182.431,2852.531,2853.398,4652.731,4654.231,2686.098,2689.498,3517.731,3517.798
177,10191.965,10197.931,2853.565,2854.765,4660.065,4668.531,2689.098,2692.031,3518.931,3568.665
178,10417.898,10588.865,2854.898,2861.165,4755.298,4755.498,2691.798,2754.265,3568.665,3577.265
179,10676.765,10682.498,2861.498,2862.365,4755.531,4763.265,2754.198,2756.031,3666.298,3672.131
180,10897.398,10912.298,2862.865,2863.631,4763.298,4763.331,2754.765,2813.598,3679.598,3683.298
181,10977.798,11029.598,2863.965,2863.998,4763.798,4763.831,2756.365,2816.365,3683.998,3684.631
182,11141.665,11143.531,2864.098,2864.165,4896.531,4896.598,2813.731,2817.698,3684.731,3686.898
183,11172.298,11174.865,2864.231,2864.565,4897.931,4900.765,2816.431,2819.231,3692.931,3700.665
184,11212.631,11271.965,2865.165,2865.431,4902.298,4904.331,2817.831,2821.331,3701.065,3701.698
185,11298.998,11299.565,2865.465,2865.965,4908.465,4908.598,2821.131,2822.265,3707.365,3713.431
186,11314.898,11324.998,2866.098,2868.531,4919.898,4921.231,2821.431,2825.731,3738.365,3751.731
187,11330.698,11331.298,2868.765,2869.631,4963.065,4963.131,2824.031,2827.665,3767.498,3768.031
188,14574.564,14575.964,2877.298,2878.065,4963.398,4980.231,2826.131,2828.331,3778.331,3778.365
189,14874.664,14876.564,2880.198,2880.865,4980.365,4981.631,2828.131,2829.398,3778.698,3780.531
190,14930.298,14945.631,2881.265,2884.465,4982.365,5045.431,2828.765,2831.831,3810.365,3810.798
191,14945.698,14945.731,2884.531,2884.565,5045.765,5046.865,2829.831,2833.598,3810.931,3810.965
192,14945.798,14945.898,2884.698,2884.731,5047.998,5050.398,2833.465,2834.265,3811.798,3811.931
193,14971.798,14972.264,2884.798,2885.231,5050.565,5051.865,2833.731,2840.998,3811.998,3812.065
194,14990.364,14991.264,2885.365,2885.498,5052.031,5052.165,2839.898,2841.931,3816.698,3823.965
195,15011.998,15276.098,2885.598,2886.031,5067.431,5071.198,2841.798,2844.498,3824.098,3824.131
196,15324.831,15325.298,2892.365,2893.831,5147.731,5147.898,2843.765,2844.598,3824.298,3825.298
197,15375.398,15385.798,2894.065,2894.231,5148.031,5233.398,2844.565,2851.831,3825.531,3839.731
198,15405.831,15406.298,2898.165,2898.265,5233.431,5250.898,2851.765,2852.531,3842.665,3845.498
199,15679.831,15680.798,2920.998,2921.431,5251.131,5256.265,2851.865,2853.565,3878.831,3879.698
200,15699.098,15814.764,2921.631,2921.665,5263.665,5263.698,2853.398,2854.898,3892.365,3902.631
201,15938.164,15938.798,2922.365,2922.498,5263.798,5321.931,2854.765,2861.498,3903.298,3903.531
202,15939.464,15939.798,2922.565,2922.631,5328.431,5331.365,2861.165,2862.865,3903.765,3903.831
203,15940.731,15966.064,2923.298,2923.565,5331.698,5347.465,2862.365,2863.965,3904.398,3904.498
204,16032.631,16033.064,2925.565,2925.698,5654.731,5655.065,2863.631,2864.098,3904.798,3904.865
205,16037.998,16043.031,2956.998,2957.331,5656.765,5656.798,2863.998,2864.231,3904.931,3905.731
206,16053.531,16058.164,2959.398,2959.765,5656.965,5658.898,2864.165,2865.165,3906.298,3910.398
207,16068.198,16069.064,2960.631,2960.731,5658.931,5671.665,2864.565,2865.465,3977.865,3978.731
208,16148.364,16170.598,2960.931,2961.231,5673.531,5698.165,2865.431,2866.098,3986.498,4012.531
209,16186.431,16187.064,2969.665,2976.531,5700.998,5703.631,2865.965,2868.765,4028.931,4121.531
210,16201.564,16204.798,2976.898,2977.065,5720.431,5727.731,2868.531,2877.298,4121.698,4151.031
211,16250.898,16251.631,2977.265,2980.665,5760.098,5762.865,2869.631,2880.198,4167.731,4169.065
212,16289.498,16304.031,2982.831,2983.298,5775.098,5775.365,2878.065,2881.265,4172.898,4179.498
213,16688.898,16835.364,2984.498,2987.065,5779.765,5779.831,2880.865,2884.531,4179.798,4180.531
214,16929.031,16930.298,3015.665,3016.065,5826.765,5826.831,2884.465,2884.698,4180.598,4190.765
215,17129.431,17130.031,3016.465,3016.498,5832.565,5953.398,2884.565,2884.798,4190.865,4190.931
216,17164.798,17165.331,3024.731,3024.865,6157.598,6158.298,2884.731,2885.365,4190.998,4191.165
217,17174.698,17181.931,3024.965,3025.065,6158.498,6168.265,2885.231,2885.598,4191.498,4197.798
218,17249.431,17260.131,3025.165,3025.265,6168.631,6173.931,2885.498,2892.365,4296.831,4307.098
219,17260.164,17260.231,3025.298,3025.365,6179.365,6179.465,2886.031,2894.065,4551.398,4551.665
220,17305.431,17306.431,3026.465,3026.531,6179.898,6184.231,2893.831,2894.298,4571.065,4571.165
221,17370.898,17371.264,3026.565,3026.598,6185.565,6185.631,2894.231,2898.165,4574.598,4596.965
222,17378.498,17392.898,3026.631,3026.865,6229.365,6229.865,2898.098,2920.998,4617.065,4622.131
223,17407.431,17407.964,3027.898,3028.665,6235.698,6267.265,2898.265,2921.631,4651.031,4652.731
224,17415.864,17426.931,3029.131,3029.198,6434.131,6437.831,2921.431,2922.365,4654.231,4660.065
225,17447.064,17453.198,3031.131,3031.231,6474.831,6476.098,2921.665,2922.565,4668.531,4687.398
226,17507.231,17509.598,3031.431,3031.965,6477.398,6484.765,2922.498,2923.298,4746.731,4755.298
227,17524.298,17526.464,3032.098,3032.165,6485.065,6489.098,2922.631,2925.565,4755.498,4755.531
228,17867.898,17877.198,3035.831,3036.065,6687.531,6691.531,2923.565,2929.365,4763.265,4763.298
229,17915.798,17974.431,3061.098,3061.131,6698.698,6701.031,2925.698,2943.831,4763.331,4763.798
230,17974.431,18145.331,3061.198,3063.798,6709.565,6711.998,2939.798,2950.565,4763.831,4771.298
231,18320.897,18332.664,3064.131,3064.265,6718.665,6720.398,2946.231,2956.998,4896.231,4896.531
232,18419.697,18421.431,3064.631,3065.198,6720.798,6721.765,2951.165,2959.398,4896.598,4897.931
233,18456.464,18459.664,3069.965,3070.931,6731.798,6739.298,2957.331,2960.631,4900.765,4902.298
234,18495.597,18541.931,3071.431,3074.365,6995.498,6995.631,2959.765,2960.931,4904.331,4908.465
235,18659.097,18673.397,3077.365,3077.565,6995.765,7001.131,2960.731,2969.665,4908.598,4909.765
236,21600,21600,3078.031,3078.065,7003.731,7004.398,2961.231,2976.898,4917.798,4919.898
237,21600,21600,3102.598,3102.731,7005.598,7011.898,2976.531,2977.265,4921.231,4921.765
238,NA,NA,3103.765,3103.931,7012.065,7017.598,2977.065,2982.831,4962.731,4963.065
239,NA,NA,3117.498,3118.098,7113.631,7113.831,2980.665,2984.498,4963.131,4963.398
240,NA,NA,3138.765,3138.831,7126.865,7127.198,2983.298,2988.265,4980.231,4980.365
241,NA,NA,3138.931,3139.098,7137.731,7137.998,2987.065,3015.665,4981.631,4982.365
242,NA,NA,3145.265,3145.365,7188.731,7188.965,3007.131,3016.465,5045.431,5045.765
243,NA,NA,3145.398,3147.565,7192.765,7192.865,3016.065,3018.498,5046.865,5047.998
244,NA,NA,3147.698,3151.598,7192.898,7193.898,3016.498,3024.898,5050.398,5050.565
245,NA,NA,3151.631,3151.698,9309.565,9309.598,3024.865,3025.165,5051.865,5052.031
246,NA,NA,3152.398,3152.831,9309.765,9309.798,3025.065,3025.298,5052.165,5054.565
247,NA,NA,3154.898,3154.965,9309.865,9310.665,3025.265,3026.465,5067.031,5067.431
248,NA,NA,3155.965,3156.065,9310.698,9322.231,3025.365,3026.565,5071.198,5075.298
249,NA,NA,3157.365,3158.431,9322.331,9324.465,3026.531,3026.631,5147.298,5147.731
250,NA,NA,3158.665,3161.498,9324.798,9325.731,3026.598,3027.898,5147.898,5148.031
251,NA,NA,3161.631,3162.431,9325.865,9326.065,3026.865,3029.131,5233.398,5233.431
252,NA,NA,3164.498,3172.465,9326.165,9328.431,3028.665,3031.131,5250.898,5251.131
253,NA,NA,3172.598,3173.265,9328.465,9329.731,3029.198,3031.431,5256.265,5263.665
