"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
81,3346.067,3388.267,2232.967,2233.167,2069.667,2069.8,346.4,346.433,350.833,351.433,NA,NA,NA,NA
82,3409.633,3410.533,2235.533,2235.6,2069.833,2070.733,346.933,347.467,351.567,351.967,NA,NA,NA,NA
83,3492.966,3534.766,2238.433,2238.5,2070.867,2081.867,347.533,347.733,352,352.167,NA,NA,NA,NA
84,3548.9,3584.7,2246.233,2246.433,2082.2,2085.1,347.8,349.733,352.5,355.633,NA,NA,NA,NA
85,3615.8,3624.133,2255.733,2255.767,2085.167,2086.933,349.833,349.933,356.067,356.1,NA,NA,NA,NA
86,3653.4,3653.5,2256.967,2257.1,2087,2092.567,350.7,350.733,356.5,356.833,NA,NA,NA,NA
87,3654.9,3667.033,2261.3,2261.367,2092.633,2107.067,350.767,350.833,358,358.133,NA,NA,NA,NA
88,3703.3,3703.9,2261.833,2261.867,2107.267,2107.3,351.433,351.567,358.367,358.433,NA,NA,NA,NA
89,3728.566,3735.7,2269.9,2269.933,2107.333,2108.967,351.967,352,360.567,360.7,NA,NA,NA,NA
90,3752.533,3807.4,2281.767,2281.867,2109.067,2109.733,352.167,352.5,361.133,363.5,NA,NA,NA,NA
91,3826.466,3836.866,2398.9,2398.967,2109.767,2111.267,355.633,356.067,364.767,365.2,NA,NA,NA,NA
92,3876.366,3882.033,2399,2399.067,2112.6,2112.633,356.1,356.5,365.467,366.2,NA,NA,NA,NA
93,3889.533,3894.466,2399.1,2399.233,2112.867,2113,356.833,358,367.133,367.667,NA,NA,NA,NA
94,3910.366,3913.333,2399.3,2399.367,2113.433,2113.567,358.133,358.367,368.167,368.3,NA,NA,NA,NA
95,3933.1,3935.166,2400.433,2401.333,2113.633,2114.8,358.433,360.567,368.433,368.667,NA,NA,NA,NA
96,3935.433,3935.466,2425.267,2425.333,2115.233,2115.267,360.7,361.133,370.767,370.833,NA,NA,NA,NA
97,3948.566,3949.833,2516.333,2517.667,2115.9,2117.7,363.5,364.767,371.733,371.833,NA,NA,NA,NA
98,3964.533,3985,2518.1,2520.033,2119.9,2132.667,365.2,365.467,371.9,372.767,NA,NA,NA,NA
99,4036.5,4037.766,2521.9,2522.167,2132.933,2132.967,366.2,367.133,372.8,372.833,NA,NA,NA,NA
100,4061.433,4138.866,2524.9,2524.933,2133,2140.567,367.667,368.167,428.9,429.267,NA,NA,NA,NA
101,4139.9,4163.266,2525.2,2525.3,2140.6,2144.367,368.3,368.433,429.3,429.533,NA,NA,NA,NA
102,4180.033,4196.7,2530.533,2532.133,2144.7,2149.833,368.667,370.767,430.567,430.6,NA,NA,NA,NA
103,4202.133,4203.1,2532.167,2532.2,2153.833,2161.633,370.833,371.733,434.467,434.533,NA,NA,NA,NA
104,4211.233,4218.466,2532.233,2532.567,2161.733,2166.333,371.833,371.9,479.3,479.467,NA,NA,NA,NA
105,4253.3,4445.6,2686.767,2686.967,2166.4,2170.567,372.767,372.8,479.667,480.267,NA,NA,NA,NA
106,4446.033,4447.333,2734.733,2734.8,2221.367,2229.533,372.833,383.133,480.5,480.767,NA,NA,NA,NA
107,4453.566,4467.733,2831.267,2831.333,2229.6,2232.967,426.433,428.9,481.2,481.267,NA,NA,NA,NA
108,4468.066,4468.2,2833.333,2833.4,2233.167,2235.533,429.267,429.3,481.3,481.8,NA,NA,NA,NA
109,4468.233,4469.133,2837.1,2840.4,2235.6,2238.433,429.533,430.567,481.967,482.1,NA,NA,NA,NA
110,4479.466,4483.333,2840.733,2840.767,2238.5,2246.233,430.6,434.467,482.233,483.533,NA,NA,NA,NA
111,4483.533,5173.733,2840.9,2840.933,2246.433,2255.733,434.533,479.3,483.567,483.767,NA,NA,NA,NA
112,5174.933,5188.466,3001.8,3001.967,2255.767,2256.967,479.467,479.667,483.9,484.3,NA,NA,NA,NA
113,5188.533,5189.466,3004.4,3006.267,2257.1,2259.633,480.267,480.5,485.833,486.933,NA,NA,NA,NA
114,5189.533,5190.033,3007.133,3007.2,2260.833,2261.3,480.767,481.2,487.067,487.4,NA,NA,NA,NA
115,5236.633,5244.366,3143.067,3143.1,2261.367,2261.833,481.267,481.3,488.967,489.067,NA,NA,NA,NA
116,5273.866,5282.266,3143.733,3143.9,2261.867,2263.5,481.8,481.967,489.233,490.167,NA,NA,NA,NA
117,5312.566,5330.366,3391.633,3391.667,2268.5,2269.9,482.1,482.233,490.2,490.6,NA,NA,NA,NA
118,5395,5396.733,3393.733,3393.8,2269.933,2281.767,483.533,483.567,490.633,492.1,NA,NA,NA,NA
119,5417.3,5426.766,3591.333,3591.466,2281.867,2311.3,483.767,483.9,492.167,492.433,NA,NA,NA,NA
120,5450.333,5455.633,3591.5,3591.566,2311.9,2312.367,484.3,485.833,492.6,493.033,NA,NA,NA,NA
121,5455.7,5482.133,3601.2,3602.133,2394.233,2398.9,486.933,487.067,493.1,493.167,NA,NA,NA,NA
122,5487.533,5651.033,3604.533,3604.6,2398.967,2399,487.4,488.967,493.233,494.533,NA,NA,NA,NA
123,5659.5,5662.766,3605.533,3606.566,2399.067,2399.1,489.067,489.233,494.933,495.333,NA,NA,NA,NA
124,5672.833,5684.233,3608.5,3608.766,2399.233,2399.3,490.167,490.2,495.8,496.1,NA,NA,NA,NA
125,5684.633,5684.733,3673.833,3674.033,2399.367,2400.433,490.6,490.633,497.333,497.533,NA,NA,NA,NA
126,5715.533,6801.933,3674.1,3674.3,2401.333,2401.7,492.1,492.167,501.567,501.8,NA,NA,NA,NA
127,6815.566,6817.066,3675.4,3675.8,2410.367,2410.833,492.433,492.6,518.8,518.9,NA,NA,NA,NA
128,6846.399,6858.099,3746.6,3746.9,2419.1,2425.267,493.033,493.1,520,520.167,NA,NA,NA,NA
129,6901.933,6922.166,3748.233,3748.733,2425.333,2427.4,493.167,493.233,524.3,524.333,NA,NA,NA,NA
130,6923.633,6924.399,3749.533,3750.1,2501.033,2503.9,494.533,494.933,525.367,533.833,NA,NA,NA,NA
131,6924.533,6924.966,3750.366,3750.633,2510.833,2516.333,495.333,495.8,533.9,534.267,NA,NA,NA,NA
